,Time,User,Tweet,RetweetCount,LikeCount,TweetID,Geo
0,2022-07-23 22:04:24+00:00,BandyGit,"@BuzzkillF @HeikoKhoo Your mum is a wise woman 👍🏻.
I only saw the clip on The Highwire episode on Thursday &amp; thought it was well worth sharing. If there had been real journalism like this from the start things would be very different.
Great to ‘meet’ u too. ✊🏻",0,1,1550965075758006278,
1,2022-07-23 21:49:20+00:00,BandyGit,@kkcentex 😂👍🏻,0,0,1550961286523064322,
2,2022-07-23 20:57:56+00:00,BandyGit,@doezer1 12th July this year.,0,2,1550948349905362945,
3,2022-07-23 20:36:18+00:00,BandyGit,"@BuzzkillF @HeikoKhoo Thanks for letting me know Tony.
Great work by @HeikoKhoo getting this footage 👍🏻",0,1,1550942906822844417,
4,2022-07-23 20:10:49+00:00,BandyGit,@Stephen270453 Not really. Just someone who realised I didn’t need experimental injections to ‘protect’ me from something with the same IFR as flu.,0,0,1550936494545801218,
5,2022-07-23 20:05:03+00:00,BandyGit,"@Stephen270453 Didn’t get the jabs, didn’t get covid, didn’t die. I must be even luckier.",0,0,1550935041454342147,
6,2022-07-23 19:03:53+00:00,BandyGit,@Nowaykid @Living_in_CR Journalist is @HeikoKhoo,0,0,1550919647855349760,
7,2022-07-23 19:01:44+00:00,BandyGit,@winnie21276680 @HeikoKhoo,0,0,1550919108404908037,
8,2022-07-23 19:00:22+00:00,BandyGit,The journalist is @HeikoKhoo,9,35,1550918763691872256,
9,2022-07-23 18:47:54+00:00,BandyGit,"This is the interviewer. Apologies, I would have retweeted him if I had seen it before seeing it on The Highwire. He deserves a follow 👍🏻

https://t.co/EA3kPxu6jq",21,93,1550915627291901952,
10,2022-07-23 18:29:28+00:00,BandyGit,"@oldtwohats @BoyScou84038220 @uncleandre2022 @Ross_Cand Pointless? Official stats provided by Mid &amp; South Essex NHS Trust? 
Have a look at the Total Admission Stats and tell yourself they’re ‘pointless’ as well. https://t.co/62qesJC50u",0,1,1550910986965684224,
11,2022-07-23 18:19:10+00:00,BandyGit,@Mellycat6 @tessyursine July 12th this year.,0,3,1550908395154276352,
12,2022-07-23 18:10:10+00:00,BandyGit,@oldtwohats @BoyScou84038220 @uncleandre2022 @Ross_Cand ICU Stats provided from a Freedom of Information request for my local hospitals suggest there wasn’t many people ‘riddled’ with anything. https://t.co/PIcGwcC4JJ,0,2,1550906131496767488,
13,2022-07-23 05:33:40+00:00,BandyGit,"@supertodd1 His name is Heiko Khoo.
There’s a longer video clip here, it starts after about 12 mins 👇🏻

https://t.co/kxbOgjy6B5",26,59,1550715750721134592,
14,2022-07-22 19:03:18+00:00,BandyGit,"How can anyone still be asking why people remain unjabbed? What can ‘persuade’ someone to get it?
The BBC thinks propaganda &amp; outright lies will do the trick 👇🏻 https://t.co/ri6rl4ESfV",4,8,1550557111972667395,
15,2022-07-22 15:53:49+00:00,BandyGit,"Masks on masks off, exhausted nurses finding the time to choreograph dance routines in empty wards, the public clapping on their doorsteps looking like deranged seals, NHS workers clapping themselves.
It certainly was a ‘once in a lifetime pandemic. https://t.co/wETXYNKMCe",0,1,1550509428361011200,
16,2022-07-22 08:16:36+00:00,BandyGit,"@RichardBarrow Ask yourself why the unjabbed are not repeatedly getting sick. Many doctors (not on MSM) have been warning this will happen for over a year. Here’s one 👇🏻

https://t.co/2dH6Ku1FLu",0,0,1550394367151689730,
17,2022-07-22 07:41:12+00:00,BandyGit,@vaccess_denied @zdaniel That deserved it’s own tweet 😄👍🏻,0,3,1550385456092700672,
18,2022-07-22 07:39:56+00:00,BandyGit,"‘Health officials’ in the UK and all over the world did this too. It’s almost as if they were following the same script.
Sadly the vast majority of people blindly trusted these liars. https://t.co/rd5BFwkKHH",0,1,1550385138978136064,
19,2022-07-22 07:32:20+00:00,BandyGit,"RT @TheArchitect420: The ""Winter of Death"" never came for the unvaccinated, but the ""Summer of Sickness"" has most certainly come for the va…",1838,0,1550383227545784320,
20,2022-07-22 07:23:41+00:00,BandyGit,"@zdaniel THE LIFE OF A COVID CULTIST
- Got jabbed, got sick, thanked the jabs.
- Got boosted, got very sick, thanked the booster, can’t imagine how bad they would have been without it.
- Got 2nd booster, feel very sick again, must be ‘long covid’.
- Continue cycle until inevitable death.",9,53,1550381048823009280,
21,2022-07-22 07:14:47+00:00,BandyGit,"@RichardBarrow THE LIFE OF A COVID CULTIST
- Got jabbed, got sick, thanked the jabs.
- Got boosted, got very sick, thanked the booster, can’t imagine how bad they would have been without it.
- Got 2nd booster, feel very sick again, must be ‘long covid’.
- Continue cycle until inevitable death.",1,12,1550378807806332928,
22,2022-07-21 22:08:02+00:00,BandyGit,@jay29527414 He really is an odious piece of shit.,0,11,1550241215571976194,
23,2022-07-21 21:49:43+00:00,BandyGit,"Matt Hancock being questioned about asymptomatic transmission, the main reason used to justify lockdowns &amp; restrictions.
A proper journalist repeatedly asks him ‘what evidential paper proved it?’. 
As expected, no response. https://t.co/JBA4tNx1qL",2382,5033,1550236605679542272,
24,2022-07-21 17:57:15+00:00,BandyGit,"@realDailyWire It’s an ‘umbrella term’, womanhood is a vibe. U should know this by now.😄
#TheyAreFuckingCrazy",0,0,1550178104580112385,
