,Time,User,Tweet,RetweetCount,LikeCount,TweetID,Geo
0,2022-07-23 23:18:10+00:00,MackayIM,"How could we have known.
See you back here for BA.2.75 I guess. https://t.co/nLf3dYtWP6",7,17,1550983639508615169,
1,2022-07-23 23:09:27+00:00,MackayIM,@colleenmmck618 @Nungali @RichmdSewerRat Is there evidence that eyes have truly been a source of infection beyond lab studies in animals?,2,3,1550981445673709568,
2,2022-07-23 23:07:58+00:00,MackayIM,@edwardteach75 Have there been any studies on how that went? Compliance? Educational material? Availability? Whne they had to be worn and when not? Any other interventions mandated like filtration?,0,0,1550981075123720192,
3,2022-07-23 23:05:32+00:00,MackayIM,"@DrKatrin_Rabiei @atmghn A comment that surgical masks, the preferred &amp; most promoted mask in Australia, are better used to fend off droplets &amp; bits of material such as those produced by drills in bone surgery, but not as source control, or PPE against aerosols.
Yes, its an obscure reference🙂",0,1,1550980462465908736,
4,2022-07-23 23:01:12+00:00,MackayIM,"COVID-19 cases in Japan top 200,000 for first time | The Japan Times https://t.co/3RMzOXG06s",3,10,1550979369598091265,
5,2022-07-23 22:12:10+00:00,MackayIM,"@ClimateActionN8 I can't speak for experts, but I'm not",0,2,1550967030899408896,
6,2022-07-23 22:11:34+00:00,MackayIM,"RT @colleenmmck618: @MackayIM @RichmdSewerRat Everyone, please wear a quality mask. Avoid crowds. This is common sense. Don't need to be an…",7,0,1550966878277074945,
7,2022-07-23 22:11:15+00:00,MackayIM,@charles_haig01 So nothing has changed in Japan in the last week or two?,0,0,1550966798698557440,
8,2022-07-23 21:41:38+00:00,MackayIM,@balaivoiture @_TheAncientOne_ I certainly agree with your 2nd sentence,0,1,1550959347379109888,
9,2022-07-23 21:41:01+00:00,MackayIM,"@_TheAncientOne_ Yeah the mandates are sometimes so crazily place-and use-specific that they leave other gaping risk holes. We're still not explaining why, when and how to wear what mask for best effect. IMO",0,3,1550959190772174848,
10,2022-07-23 21:37:30+00:00,MackayIM,@b_leeder Could you flick me a sizable study of humans wearing vs not wearing masks during this pandemic that had evidence of capturing compliance and discussed likeliest sources of infections?,0,0,1550958307724369920,
11,2022-07-23 21:33:46+00:00,MackayIM,@Nungali @profmiketoole @maskupmelb @CrabbBrendan A while ago,0,1,1550957366321229825,
12,2022-07-23 21:29:27+00:00,MackayIM,@John_King55 @EricTopol Hurts but spot on.,0,2,1550956282857029632,
13,2022-07-23 21:28:52+00:00,MackayIM,@garland_paige @EricTopol Ugh. We'll see more before this wave recedes I expect. 😔,1,2,1550956133225213952,
14,2022-07-23 21:27:40+00:00,MackayIM,@wisebeck 🤔 Billed based on protection rather than definition? That might be the one.,0,0,1550955834083278848,
15,2022-07-23 21:25:28+00:00,MackayIM,@b_leeder Maybe quote words that are used instead of the ones you think are used dude. Might better represent the point,0,0,1550955277373304832,
16,2022-07-23 21:21:44+00:00,MackayIM,"@redruby17 There's a line here about sterilising the surface first, but it's too cheeky",0,0,1550954339036180480,
17,2022-07-23 21:18:00+00:00,MackayIM,"RT @TrekCore: Character poster for Worf who is NOT a Captain per @TerryMatalas

#SDCC2022 #starTrekPicard #StarTrek https://t.co/3Ps2BOtrvi",122,0,1550953399314948097,
