,Time,User,Tweet,RetweetCount,LikeCount,TweetID,Geo
0,2022-07-23 22:03:05+00:00,Rustybe96849965,@Sciencenature14 😂🤣🤪,0,0,1550964747486609409,
1,2022-07-23 22:00:24+00:00,Rustybe96849965,"@ThisLeeNoble @mrjamesob @TheFreds 100 followers in 10 yrs lee = bot...actually it seems all James OB followers are bots 😂🤣 go on James, tell  your bot buddies what to be fake outraged against next. Its comedy on this timeline, however my time is  precious, got some more overpaid shills to spank 👋🤡",0,0,1550964070764929025,
2,2022-07-23 21:51:38+00:00,Rustybe96849965,"@DCtheBruin 😂🤣you have 🐶💩 for  brains loser.  Enjoy  your  booster, sucker.",0,0,1550961863478984707,
3,2022-07-23 21:46:32+00:00,Rustybe96849965,@Leftylockdowns1 Wow. Hell awaits you deplorable. Oh they didn’t tell you about karma when they gave you the money to spread propaganda. You’ll learn the hard way. https://t.co/wiJSNbkrqI,0,0,1550960578713231360,
4,2022-07-23 21:39:56+00:00,Rustybe96849965,RT @worldnetdaily: 33 dead &amp; sick friends in 8 months – all vaxxed! https://t.co/TTrXPi6N4L,9,0,1550958918792347649,
5,2022-07-23 20:00:46+00:00,Rustybe96849965,"RT @KazNan3: Monkeypox is rebranded COVID injection-activated shingles, based on a PCR that is not designed to diagnose  disease. This is t…",60,0,1550933964210278404,
6,2022-07-23 20:00:33+00:00,Rustybe96849965,RT @DaveAtherton20: I see @ProfAsmaKhalil you were i/v'ed for the BBC's Unvaccinated. How come your association with Pfizer was not disclos…,41,0,1550933908119773185,
7,2022-07-23 19:59:22+00:00,Rustybe96849965,"RT @SandybeachPD: Have you noticed it's just the G7's countries, that are pushing crickets, farmland being sold to billionaires, climate ch…",74,0,1550933610542284800,
8,2022-07-23 19:58:36+00:00,Rustybe96849965,RT @Inspireman: From 1974.. doesn’t matter what the hoax is just keep the population in a permanent state of panic to facilitate political…,22,0,1550933419055616002,
9,2022-07-23 19:57:14+00:00,Rustybe96849965,"RT @rising_serpent: ""I want to wish Joe Biden a speedy recovery from COVID and to wish America a speedy recovery from Joe Biden""
 https://t…",174,0,1550933074598416386,
10,2022-07-23 19:50:17+00:00,Rustybe96849965,"@TaraNipe @VictorianCHO The common good would be to feed the 820 million needlessly starving people, but keep on shilling with your BS propaganda.",0,0,1550931324793405441,
11,2022-07-23 19:49:01+00:00,Rustybe96849965,"@manalipatelmd you should really be mad at the 820 million needlessly starving people, but keep on shilling with your BS propaganda.",0,0,1550931005313323009,
12,2022-07-23 19:46:44+00:00,Rustybe96849965,"@BlackbirdRise The common good would be to feed the 820 million needlessly starving people, but keep on shilling with your BS propaganda.",0,0,1550930433646411777,
13,2022-07-23 19:42:59+00:00,Rustybe96849965,@Jlguest 🥱😴,0,0,1550929488715866113,
14,2022-07-23 19:41:30+00:00,Rustybe96849965,"@aligrimshaw @JustinTrudeau @DonateMask The common good would be to feed the 820 million needlessly starving people, but keep on shilling with your BS propaganda.",0,0,1550929114718167040,
15,2022-07-23 19:39:28+00:00,Rustybe96849965,"@QuakerNana The common good would be to feed the 820 million needlessly starving people, but keep on shilling with your BS propaganda.",0,0,1550928602098720773,
16,2022-07-23 19:36:10+00:00,Rustybe96849965,"@nilikm Trust me, they ain’t cancelling because they are ill, embarrassing that you are shilling for big pharma.",0,0,1550927774260641794,
17,2022-07-23 19:34:15+00:00,Rustybe96849965,"@DrEricDing @TSA @flyLAXairport @wsbgnl 820 million people are starving worldwide and you advocate masks!? There is enough food to feed everyone but it doesn’t pay you the big bucks eh, shill.",0,0,1550927288530771969,
18,2022-07-23 19:29:20+00:00,Rustybe96849965,"@bibekum Ok Virtual signalling uneducated fool...if you really cared about people you would be demanding the 820 million hungry people got fed, but you think a stinky damp rag is going save people not food! Grow up. FYI... https://t.co/zE8ucm1ps8",0,1,1550926051194413058,
19,2022-07-23 19:18:04+00:00,Rustybe96849965,"RT @eduguiu: #Amsterdam

Hold the line",7,0,1550923219531665411,
20,2022-07-23 19:15:32+00:00,Rustybe96849965,"RT @MelissaLMRogers: Live in Amsterdam 🇳🇱 🇨🇦#WeMoveAsOne 
#Canada #Amsterdam #Freedom https://t.co/gW4BLNssGv",123,0,1550922580449714176,
21,2022-07-23 19:11:37+00:00,Rustybe96849965,RT @LuBuchi: @nytimes https://t.co/tSkWhKlNtj,38,0,1550921595715190785,
22,2022-07-23 19:04:15+00:00,Rustybe96849965,RT @LilithLovett: Fun fact: Soylent Green takes place in the year 2022.,73,0,1550919742470459396,
23,2022-07-23 19:02:07+00:00,Rustybe96849965,"RT @hugotalks1: Bank BACKTRACKS On Cashless After Public OUTCRY / Hugo Talks #Ireland 
https://t.co/7xmYdcKIvu",45,0,1550919204240609281,
24,2022-07-23 18:48:17+00:00,Rustybe96849965,"RT @hugotalks1: Hannah Fry BBC Unvaccinated Coinkydink / Hugo Talks #UnvaccinatedDocumentary 
https://t.co/sSJpE8tRVv",20,0,1550915721370210309,
25,2022-07-23 18:24:52+00:00,Rustybe96849965,RT @rdwhiskey: Not no but HELL NO!!,171,0,1550909829698437124,
26,2022-07-23 18:23:35+00:00,Rustybe96849965,RT @seifert_jim: We should ALL be enraged. What if lying biden or harris was attacked. Would perp have been released? Is biden worth more t…,68,0,1550909505214595072,
27,2022-07-23 16:54:28+00:00,Rustybe96849965,@lostinhist0ry @CAUSSA2 Yeah with no evidence of the meteor itself,0,1,1550887079080431616,
28,2022-07-23 16:51:43+00:00,Rustybe96849965,@SteveConnolly2 @Sciencenature14 Controlled opposition,0,0,1550886387871883279,
29,2022-07-23 16:49:30+00:00,Rustybe96849965,@Angeldrifter19 @Sciencenature14 Because the photos they show you are not real and even admit they are CGI done by the artist himself Robert Hurt (NASA‘s Artist),0,4,1550885828364308489,
30,2022-07-23 16:48:02+00:00,Rustybe96849965,@antogichangi @Sciencenature14 Wouldn’t be able to see it either 😂,0,0,1550885459215237120,
31,2022-07-23 16:47:27+00:00,Rustybe96849965,@Sciencenature14 Yeah if it were real,0,0,1550885313710620673,
32,2022-07-23 16:46:03+00:00,Rustybe96849965,Wish I lived in this Era https://t.co/Z4EGHfxyOj,0,2,1550884962181709831,
33,2022-07-23 16:09:48+00:00,Rustybe96849965,"RT @stonehurstoil: THE CANNONBALL RUN (1981) Intro  🎬

I love this intro. 😂 https://t.co/pB9Qjv1nbF",27,0,1550875837829943298,
34,2022-07-23 16:07:38+00:00,Rustybe96849965,@Sciencenature14 When are we actually going to get a clear image of the Earth,0,0,1550875293472145410,
35,2022-07-23 16:06:32+00:00,Rustybe96849965,@Sciencenature14 😂😂 CGI,0,0,1550875015561740288,
36,2022-07-23 16:03:26+00:00,Rustybe96849965,@Bradley31761624 @boxstory_rkm 😂😂,0,1,1550874235765153792,
37,2022-07-23 15:57:15+00:00,Rustybe96849965,@Bradley31761624 @boxstory_rkm On his Instagram apparently? I’m not on social media so not sure if it is or not,0,0,1550872678709530624,
38,2022-07-23 15:37:47+00:00,Rustybe96849965,@CrazilOG @okiamfabioneto @Hopey_2 @DSiPaint @TheFigen 400 followers in 6 years 😂😂🤡,0,0,1550867782262218752,
39,2022-07-23 15:37:24+00:00,Rustybe96849965,@CrazilOG @okiamfabioneto @Hopey_2 @DSiPaint @TheFigen https://t.co/MShVnxrY9o,0,1,1550867686418178048,
40,2022-07-23 15:36:33+00:00,Rustybe96849965,@CrazilOG @Jason_Florida1 @Hopey_2 @DSiPaint @TheFigen Not asking anyone to believe me but what I believe is the Earth was created and not from the Big Bang. They haven’t shown you one authentic picture of the Earth from a distance without CGI. When you lose trust in the taxpayers funded organisation then you have to ask why lie?,0,0,1550867472181592065,
41,2022-07-23 15:33:15+00:00,Rustybe96849965,@okiamfabioneto @Hopey_2 @CrazilOG @DSiPaint @TheFigen No real flat earth earthers believe in that theory. But let’s pretend somehow the planes fly upside down and the earths oceans are kept in by a weak force called Gravity which is also a “Theory” &amp; can’t be proven.,0,0,1550866640669220868,
42,2022-07-23 15:30:22+00:00,Rustybe96849965,RT @TheFreds: This is extraordinary. The government admit in writing that certain vaxx information can’t be released as it may effect comme…,274,0,1550865916367458304,
43,2022-07-23 15:29:57+00:00,Rustybe96849965,RT @peachypuk: Chemtrails: What's the truth behind the conspiracy theory? - BBC News https://t.co/vfiiIKrEeL,64,0,1550865810134016001,
