,Time,User,Tweet,RetweetCount,LikeCount,TweetID,Geo
0,2022-07-22 23:03:24+00:00,APFactCheck,An image made to look like a statement from former President Donald Trump about President Joe Biden’s COVID-19 diagnosis was fabricated. Here are the facts. https://t.co/hjz8iSrbVe,446,666,1550617538593263629,
1,2022-07-22 21:19:59+00:00,APFactCheck,"Climate change has caused sea levels to rise in Sydney and elsewhere, despite social media posts claiming there’s been no change in more than a century. https://t.co/BTPgngYQpL",7,15,1550591512853073923,
2,2022-07-22 15:53:24+00:00,APFactCheck,"False claims about a three-digit mental health crisis hotline, a Swedish study on the effects of Pfizer’s COVID-19 vaccine and the Texas governor’s race were among the misinformation shared widely online this week. Here are the facts. https://t.co/Rm4MxDpTpn",17,18,1550509322375168000,
3,2022-07-21 21:38:14+00:00,APFactCheck,"Contrary to an erroneous claim on social media, the nationwide 988 mental health hotline does not “automatically route your geolocation information” to authorities. Officials are weighing the future use of geolocation services. Here are the facts. https://t.co/r2KDxEn1zj",10,13,1550233714264793088,
4,2022-07-21 19:37:20+00:00,APFactCheck,A video of tanks in a Chinese street is being misrepresented online as a response to ongoing bank protests. It shows a military exercise unrelated to the demonstrations. https://t.co/3VZkw1HqHr,25,46,1550203289635102721,
5,2022-07-21 18:55:31+00:00,APFactCheck,A comment made by President Joe Biden during a climate speech on Wednesday led to widespread claims online that he announced he has cancer. A White House spokesperson said Biden was referring to previously disclosed skin cancer that was removed. https://t.co/frcejMRUzA,11,16,1550192768298909696,
6,2022-07-20 21:09:05+00:00,APFactCheck,"Social media posts suggesting recent COVID variants are as infectious as the measles are based on flawed calculations, scientists tell the AP. https://t.co/yRxlt7qRxz",16,21,1549863991018770436,
7,2022-07-20 20:21:37+00:00,APFactCheck,Social media users are sharing an eye-catching visualization that purports to show Antarctica as seen from space. The visualization is computer generated and portrays sea ice conditions from September 2005. https://t.co/fKetoz290n,138,302,1549852045951246336,
8,2022-07-20 15:50:34+00:00,APFactCheck,"Social media users are citing a months old study from Sweden to push the unproven theory that mRNA COVID-19 vaccines permanently alter recipients’ DNA. Experts, and the study authors, say the research is being misinterpreted. Here are the facts. https://t.co/9u05vLvND7",611,1020,1549783835889524736,
9,2022-07-18 23:22:56+00:00,APFactCheck,"The president of Mexico has not endorsed a candidate in the Texas gubernatorial race, despite false claims from Gov. Greg Abbott’s campaign and others. Here are the facts. https://t.co/AdsXPtW8Nt",18,35,1549172899164176384,
10,2022-07-15 16:31:25+00:00,APFactCheck,"• Doctors say abortions can be necessary to save women's lives.
• U.S. gas prices aren't among the lowest in the world.
• The Supreme Court hasn't voted to overturn any 2020 election results.
Here are the facts on false claims spread online this week. https://t.co/fuYagEufd2",16,30,1547982176808947713,
11,2022-07-14 15:29:38+00:00,APFactCheck,"Pennsylvania hasn’t changed its mail-in voting law, despite false claims that circulated after a misleading tweet on Wednesday. Here are the facts. https://t.co/JNrezPw7fI",15,21,1547604237902745600,
12,2022-07-13 21:24:25+00:00,APFactCheck,"A staffer at a Dallas-area sports complex didn’t exchange gunfire with an armed man during a shooting last month, contrary to false claims circulating on social media. https://t.co/bYIVJxpFgX",5,7,1547331136942120962,
13,2022-07-12 16:48:37+00:00,APFactCheck,"A building that burned down in the Netherlands on Sunday night was a distribution center operated by a Dutch online grocery service, not a factory owned by Bill Gates that produced meat alternatives, as falsely claimed online. Here are the facts. https://t.co/EYAHc3RVtv",23,62,1546899340865708032,
14,2022-07-12 00:02:03+00:00,APFactCheck,"Doctors say that abortion can be medically necessary to protect the life of the pregnant mother, despite false claims to the contrary. Here are the facts. https://t.co/JCaMD3bsx8",120,236,1546646030393004032,
15,2022-07-11 23:44:10+00:00,APFactCheck,A baseless social media post ties the assassination of former Japanese Prime Minister Shinzo Abe to the country's COVID-19 vaccine policies. Abe was no longer prime minister when the vaccinations began in 2021. https://t.co/tzsdVn19zg,61,101,1546641530399690752,
16,2022-07-11 23:41:48+00:00,APFactCheck,Social media users are spreading false claims that the U.S. Supreme Court voted to overturn the results of the 2020 election results. The court has made no such decision and is on its summer recess. https://t.co/DBMQvPJ7Xe,722,1109,1546640933126639616,
17,2022-07-11 23:03:37+00:00,APFactCheck,CNN has not published an article asking whether women “should be allowed to breastfeed on the battlefield.” A screenshot circulating online has been fabricated. https://t.co/1pKAflNM0C,88,209,1546631324445937664,
18,2022-07-10 16:45:47+00:00,APFactCheck,"Social media users are sharing an aerial photo of tractors blocking a road during a 2019 protest by Dutch farmers, falsely suggesting it was taken during recent demonstrations. https://t.co/pfdakyrDem",10,13,1546173851024986114,
19,2022-07-10 16:44:11+00:00,APFactCheck,"A map circulating on social media shows the Mediterranean Sea laid over the United States. Its creator says it is intended to compare their relative sizes, not to show the potential impacts of climate change on the U.S., despite false claims online.
https://t.co/T7t0H5h1bc",287,723,1546173450800209928,
20,2022-07-09 19:54:15+00:00,APFactCheck,"Reproductive health experts say COVID-19 vaccines are safe to receive while pregnant and do not increase the risk of pregnancy loss, contrary to a false claim in an image circulating on social media.
https://t.co/7xbwuF3uVt",129,207,1545858892457992195,
21,2022-07-08 20:57:19+00:00,APFactCheck,"Herbs like pennyroyal and mugwort aren't safe alternatives to abortion, and a video of a vintage tank being unloaded off a truck is unrelated to Dutch farmer protests. Here's the week in online falsehoods. https://t.co/gm9CiWcsIG",12,20,1545512376073592835,
22,2022-07-08 19:21:36+00:00,APFactCheck,"Shinzo Abe, the former prime minister of Japan who was assassinated on Friday, did not tweet about Hillary Clinton the day before he died. A screenshot purporting to show such a tweet was fabricated. https://t.co/eNObjpxxdT",1115,2213,1545488287413977092,
23,2022-07-08 14:39:08+00:00,APFactCheck,"A 2021 Florida law requires public colleges to conduct annual surveys assessing freedom of expression on campuses, but it doesn't mandate respondents register their political views with the state, as claimed online. The surveys are voluntary and anonymous. https://t.co/9KcbI33KWa",6,23,1545417203540959232,
24,2022-07-07 23:56:17+00:00,APFactCheck,NASA did not determine that the Earth’s orbit around the sun is causing climate change. The agency agrees with the scientific consensus that it is driven by greenhouse gas emissions caused by human activity. Get the facts @AP https://t.co/SuHpH2HDF6,30,53,1545195028519190528,
25,2022-07-07 23:38:05+00:00,APFactCheck,"@AP photos show that President Joe Biden presented the Medal of Honor to a Vietnam War veteran properly, despite false claims that he put the award on backward. Here are the facts. https://t.co/c7BoQvUXDN",512,996,1545190445697085440,
26,2022-07-07 16:11:07+00:00,APFactCheck,"Pfizer CEO Albert Bourla said at Davos the company's goal is “reduce the number of people in the world that cannot afford our medicines by 50%"" by 2023, not to reduce the world's population by that much as an altered video suggests. https://t.co/qZrGnllnWd",17,36,1545077963699486724,
27,2022-07-06 22:05:31+00:00,APFactCheck,"As Dutch farmers protest their government’s plans to slash emissions, old and out-of-context footage is circulating with claims it shows current demonstrations. @AP has the facts. https://t.co/dWEqJxsAhR",77,114,1544804765221228545,
28,2022-07-06 19:39:28+00:00,APFactCheck,"An image showing the suspect charged with killing seven people at a July 4 parade in a jail cell has been manipulated. In the edited image, shared by a U.S. congresswoman, the suspect’s face was digitally inserted into a free stock photo of a prison cell. https://t.co/hwOjgKcPGO",889,1479,1544768010560446471,
29,2022-07-05 16:59:11+00:00,APFactCheck,"An image purporting to show a shark swimming in a flooded Australian train stairwell has been edited to add the much feared fish. The photo, originally captured in 2014 without the shark, reemerged in recent days amid flooding in New South Wales. https://t.co/n431xdh6oK",69,172,1544365283720183812,
30,2022-07-01 17:23:38+00:00,APFactCheck,"Experts say a Supreme Court ruling in support of a public high school coach who prayed on the field after games does not give school employees unfettered freedom to lead students in prayer during school, despite misleading claims circulating online. https://t.co/Ekj8by9oet",13,20,1542921887176589312,
31,2022-07-01 16:38:50+00:00,APFactCheck,"• An amendment to a Kentucky abortion law was proposed as satire.
• A Pentagon statement didn't say it would defy the Supreme Court.
• A Tennessee lab studied neutrons, not parallel universes.
@AP has the facts on false claims spread online this week. https://t.co/n5o5vvYB1z",17,17,1542910611599785985,
32,2022-06-30 19:03:41+00:00,APFactCheck,"In Alabama, a doctor performing an illegal abortion and someone accused of first-degree rape both face Class A felony charges. But experts say the respective sentences would depend on a judge’s discretion and other factors. https://t.co/ROB0v60kfj",8,5,1542584677457952768,
33,2022-06-29 21:25:19+00:00,APFactCheck,Popular social media posts claim scientists at a Tennessee laboratory are trying to open a portal into a parallel universe. But researchers there say their work isn’t quite so out of this world. @AP gets to the truth of the “dark matter.” https://t.co/bISyASnCdr,24,56,1542257932687101952,
34,2022-06-29 00:33:21+00:00,APFactCheck,"Social media users are recirculating an old, false claim that a painting of children in masks appeared in 1994 at Denver International Airport. The painting is from 2020, and has not been displayed at the airport. https://t.co/sRWJPADRho",196,425,1541942866364305410,
35,2022-06-27 21:35:37+00:00,APFactCheck,"Kentucky isn’t considering a bill requiring women to obtain a monthly doctor’s statement confirming whether they are pregnant, as some are falsely suggesting. A Democrat introduced the measure in 2019 as satire. Here are the facts. https://t.co/BkkCaYbS5W",96,148,1541535746992918528,
36,2022-06-27 21:13:51+00:00,APFactCheck,"Social media users are sharing a photo of trash left after the 2015 Glastonbury Festival, falsely claiming it shows this year’s event after climate activist Greta Thunberg gave a speech. https://t.co/8D9xa9GpBz",273,487,1541530270725193734,
37,2022-06-27 20:10:57+00:00,APFactCheck,Several widely-shared social media posts mischaracterized a Pentagon statement responding to the U.S. Supreme Court’s decision to overturn Roe v. Wade. The Friday statement didn’t say the Pentagon would ignore the ruling. @AP has the facts. https://t.co/2qJn9SLraU,15,17,1541514440906088450,
38,2022-06-27 16:23:08+00:00,APFactCheck,"Bricks pictured Friday along a Washington, D.C., street were for a road project that residents were notified about at least 10 days earlier. Some had falsely suggested the bricks were intentionally placed to incite violent protesting. Here are the facts: https://t.co/IsvbLu7qmX",211,492,1541457110663405569,
39,2022-06-26 17:08:02+00:00,APFactCheck,"Social media users are recirculating an old, debunked claim that Facebook allowed a TED-sponsored advertisement calling pedophilia “a natural sexual orientation” to run on the platform. The supposed ad isn't real, but has spread online since at least 2020. https://t.co/1uXKyC6l6w",13,17,1541106020671447041,
40,2022-06-24 21:18:37+00:00,APFactCheck,A video of a Monday protest in Brussels showing people marching against the rising cost of living and calling for wage increases was misrepresented online as an “anti-NATO demonstration.” @AP has the facts. https://t.co/PNWZBSG08Y,13,25,1540444306003066882,
41,2022-06-24 16:57:59+00:00,APFactCheck,"False claims about the war in Ukraine, Drag Queen Story Hour and a headline about President Joe Biden’s bike fall were among the misinformation shared widely online this week. Here are the facts. https://t.co/EbhxGrr9ND",36,40,1540378717247004673,
42,2022-06-23 20:10:12+00:00,APFactCheck,"A video of dead sheep circulating on social media was recorded in August 2021 in the country of Georgia. It was not taken this month in Idaho, nor is it related to recent cattle deaths in Kansas, as some are falsely claiming. https://t.co/6fCMgnrWZS",61,125,1540064699978780672,
43,2022-06-23 17:02:18+00:00,APFactCheck,"Contrary to an image spreading online, Kentucky Sen. Rand Paul didn’t post a tweet saying that he would share “irrefutable evidence” that COVID-19 vaccines are “harming and killing people.” Here are the facts. https://t.co/YeTblGUpUf",135,171,1540017413252603906,
44,2022-06-22 23:39:35+00:00,APFactCheck,"Social media users are sharing a photo of Ukrainian President Volodymyr Zelenskyy in front of a green screen, falsely suggesting it shows he is not really in the country. The photo was taken in Kyiv as Zelenskyy filmed a speech that appeared as a hologram.
https://t.co/py18iFfKoi",6,20,1539755005347078146,
45,2022-06-22 20:57:28+00:00,APFactCheck,"While some social media users found humor in rising gas prices by sharing a photo of a sign advertising $7.11 gas at a 7-Eleven, the image doesn’t show an entertaining coincidence. It actually shows placeholder numbers being used to test the sign in 2020. https://t.co/dQkWbiFyiO",125,206,1539714207998005250,
46,2022-06-21 22:28:50+00:00,APFactCheck,A computer-generated video is being shared online with false claims that it shows a Russian Kinzhal missile hitting land in Ukraine. Here are the facts. https://t.co/qol1je5K6A,291,438,1539374815555067904,
47,2022-06-21 17:01:37+00:00,APFactCheck,An image of Florida Gov. Ron DeSantis holding an orange T-shirt has been doctored to add former President Donald Trump’s face to the tee. The actual shirt was promoting a fast food chicken sandwich. https://t.co/V8v3lxDyFg,11,26,1539292465362092032,
48,2022-06-19 23:27:19+00:00,APFactCheck,"Despite a fabricated screenshot circulating online, The Atlantic hasn't published an article with a headline describing President Joe Biden's bike fall as ""heroism."" https://t.co/EyQyRiUe0M",562,1068,1538664756621500416,
49,2022-06-17 20:04:50+00:00,APFactCheck,"Social media users are sharing quotes from a satirical article that parodied a conversation between Virginia “Ginni” Thomas, and former White House Chief of Staff Mark Meadows, misrepresenting the exchange as real. @AP has the facts. https://t.co/t0yXdfBvNp",6,12,1537889024144048128,
50,2022-06-17 18:52:45+00:00,APFactCheck,"Footage showing an altercation between police in India and an elderly man is from 2020 — not from recent protests in support of Muslims, as some online are suggesting. Here are the facts. https://t.co/xhMQSc2dZK",3,7,1537870884454731777,
51,2022-06-17 17:42:51+00:00,APFactCheck,"Misinformation shared widely online this week centered on medication abortions, a 2019 photo of a drag performer and refugees. Here are the facts. https://t.co/Md2pdsLMQY",16,17,1537853293774389255,
52,2022-06-15 13:45:33+00:00,APFactCheck,"A headline made to look like it was published by the New York Post saying the U.N. warned of a ""massive refugee movement"" from Africa to Europe is fabricated. The story doesn't exist, and the U.N.’s refugee agency says it hasn't made any such statement. https://t.co/PnheWYpOOZ",465,509,1537068799140167681,
53,2022-06-11 00:49:36+00:00,APFactCheck,"A bill passed by the House this week would ban manufacturing or selling privately made firearms without serial numbers, known as ghost guns. It wouldn’t criminalize disassembling and cleaning your own gun, as some online have claimed. https://t.co/zmGhiJegRT",461,970,1535423973302980610,
54,2022-06-10 19:56:25+00:00,APFactCheck,"COVID-19 vaccines don't kill as many people in the U.S. as rifles, 5-year-old trans kids aren't prescribed hormones and there isn't a BP executive named ""Brice Cromwell."" @AP breaks down some of the false claims circulating this week. https://t.co/950ZZrDbM1",186,450,1535350191771078656,
55,2022-06-09 19:24:03+00:00,APFactCheck,"A widespread tweet falsely suggests that 5-year-old transgender children are receiving hormone treatments to transition. Experts say youth who haven’t reached puberty are offered support, not medical interventions. https://t.co/pzGrBFX0Ng",561,1563,1534979659313594368,
56,2022-06-09 15:49:04+00:00,APFactCheck,Posts falsely claiming that 82%-97% of pregnant women vaccinated with Pfizer's COVID-19 shot experienced miscarriages rely on flawed calculations drawn from narrow data. @AP has the facts. https://t.co/2K2FvdvIzq,26,33,1534925554465525760,
57,2022-06-09 01:21:55+00:00,APFactCheck,"California has safeguards to prevent duplicate ballots from being counted, contrary to claims made online around the state’s primary elections on Tuesday. Here are the facts. https://t.co/8P9EJbAspS",25,39,1534707328821379077,
58,2022-06-08 16:21:37+00:00,APFactCheck,A chart comparing prices at the pump under U.S. presidents since 2010 mislabels the terms of Barack Obama and Donald Trump. @AP has the facts. https://t.co/UhKEEzdiCQ,21,23,1534571358201565186,
59,2022-06-07 23:51:51+00:00,APFactCheck,"Maricopa County in Arizona didn’t wrongfully accept 18,000 ballots after election day in 2020, contrary to false claims circulating online. @AP has the facts. https://t.co/GUlLuaA7WE",316,609,1534322276547674112,
60,2022-06-04 16:57:26+00:00,APFactCheck,"An exemption to Canada’s drug laws that will be tested in the province of British Columbia for three years decriminalizes — not legalizes — possession of small amounts of some drugs, including heroin, fentanyl, cocaine and meth. @AP has the facts. https://t.co/MfSzcEs6ey",9,20,1533130820982013952,
61,2022-06-03 18:44:54+00:00,APFactCheck,"Contrary to a false story widely shared online, an Illinois high school didn’t adopt a “race-based grading system.” @AP has the facts. https://t.co/YBLFPBag2a",197,451,1532795476407422977,
62,2022-06-03 16:24:30+00:00,APFactCheck,"In recent days, falsehoods have spread online about the Uvalde school shooting, remarks by Pfizer's CEO and a paper about COVID-19 vaccines and antibodies. Here are the facts. https://t.co/Ntdqi3zYrS",14,26,1532760145217855488,
63,2022-06-01 18:07:38+00:00,APFactCheck,"A recent paper assessed the reliability of certain COVID-19 antibody tests among people who were vaccinated, then infected. Contrary to false claims online, experts say the paper’s findings don’t suggest the vaccines are harmful to immunity. https://t.co/hzXBVNZ6sw",23,55,1532061324343054337,
64,2022-05-29 23:45:51+00:00,APFactCheck,"Former President Donald Trump falsely claimed that U.S. gas prices are now “close to” $9. While gas prices have soared, the national average is around $4.60 a gallon. In California, the state with the highest average price, it is around $6.10. https://t.co/ImiQDpBJFi",128,329,1531059274201407489,
65,2022-05-28 15:40:43+00:00,APFactCheck,"Authorities say the gunman in the Uvalde, Texas, school shooting was not one of two juveniles arrested in 2018 for planning a future attack in Uvalde — contrary to a claim that circulated this week. Here are the facts. https://t.co/idNCeqj0Um",134,207,1530574801303228416,
66,2022-05-28 15:17:06+00:00,APFactCheck,RT @AP: Speakers at the National Rifle Association’s convention roundly distorted national gun and crime statistics as they pushed back aga…,642,0,1530568857441689601,
67,2022-05-27 22:02:22+00:00,APFactCheck,"A tweet from a parody account posing as Florida state Rep. Randy Fine is circulating online, with many social media users falsely claiming it was sent by the lawmaker himself. https://t.co/QQ0fOa2ube",204,290,1530308457798172678,
68,2022-05-27 20:19:08+00:00,APFactCheck,"Kyle Rittenhouse hasn't filed a lawsuit against ""The View,"" and the ABC talk show has not settled such a suit for $22 million, despite false claims circulating online. @AP has the facts. https://t.co/Js53RoLygP",23,39,1530282475662065675,
69,2022-05-27 17:18:21+00:00,APFactCheck,"An image purporting to show identical tweets from Sen. Ted Cruz after 12 mass shootings is fabricated. It includes a real message from Cruz following Tuesday’s school shooting in Uvalde, Texas, but he hasn’t tweeted the exact same message a dozen times. https://t.co/haqibvq6cd",425,864,1530236980155633664,
70,2022-05-27 16:48:28+00:00,APFactCheck,"Misinformation about the mass shooting at a Texas elementary school erupted online this week, as did false claims about the recent monkeypox outbreak. @AP has the facts. https://t.co/2X2Q8vRb3Q",16,21,1530229462402572288,
71,2022-05-26 02:40:30+00:00,APFactCheck,"A new law in Texas allows people ages 18 to 20 to obtain handgun permits if they have a specific court order due to issues such as family violence. But the minimum age to legally carry a handgun is still generally 21, contrary to some online claims. https://t.co/09AjmmJ7gt",13,17,1529653673462312961,
72,2022-05-26 00:43:12+00:00,APFactCheck,"Monkeypox is not the same as shingles, nor is it a side effect from the COVID-19 vaccine, as some social media users have claimed. @AP has the facts. https://t.co/v3TtA09TTY",186,300,1529624154684661762,
73,2022-05-25 23:50:55+00:00,APFactCheck,"RT @AP: Misinformation and conspiracy theories about Tuesday's deadly school shooting in Uvalde, Texas, began to spread online only hours a…",208,0,1529610999426342912,
74,2022-05-25 19:39:03+00:00,APFactCheck,"Contrary to false claims spreading online, the only FDA-approved vaccine for monkeypox is made by the company Bavarian Nordic, not Pfizer. Pfizer does not make a monkeypox vaccine. @AP has the facts. https://t.co/l2D3MhhlZa",114,161,1529547615322480640,
75,2022-05-25 17:42:24+00:00,APFactCheck,"ABC News did not publish a digitally altered, lightened image of the Texas elementary school gunman, as some social media users claimed. The broadcaster confirmed that a manipulated photo is being falsely attributed to ABC. https://t.co/PqbR0lv1wq",231,414,1529518258101137410,
76,2022-05-24 13:36:33+00:00,APFactCheck,"As global health authorities investigate an unprecedented outbreak of monkeypox, some social media users are spreading the unfounded theory that it emerged from certain COVID-19 vaccines. Experts say this isn’t possible. @AP has the facts. https://t.co/KtXjak1lVw",124,199,1529094002066194432,
77,2022-05-23 21:31:02+00:00,APFactCheck,A video showing Pfizer CEO Albert Bourla telling the World Economic Forum in Davos about a pill with an ingestible sensor is being misrepresented on social media. The pill was not developed by Pfizer and the video is from 2018. https://t.co/jPNBE57o0Y,219,369,1528851018166968320,
78,2022-05-21 17:32:53+00:00,APFactCheck,"The U.S. is proposing amendments to WHO health regulations that would strengthen reporting requirements for disease outbreaks, among other changes. The changes wouldn't transfer U.S. authority over health care decisions to the agency, as some are claiming. https://t.co/dC8btExNWV",29,42,1528066310562795521,
79,2022-05-20 23:12:40+00:00,APFactCheck,"Social media posts are distorting the facts around abortion law in Alabama. A 2019 law that would ban most abortions is currently blocked from taking effect. It includes criminal penalties for providers who perform abortions, not those who receive them. https://t.co/U7DJKa6FNt",170,294,1527789434778812418,
80,2022-05-20 17:26:33+00:00,APFactCheck,"False claims about the World Health Organization, the U.S. baby formula shortage and an image of Mars were among the misinformation circulating widely online this week. @AP has the facts. https://t.co/eGTIpWzWXd",31,55,1527702330581430272,
81,2022-05-19 19:51:36+00:00,APFactCheck,"Experts say several factors have contributed to the baby formula shortage in the U.S., but an investment by Bill Gates isn't one of them. Gates' firm invested in a lab-produced breast milk startup in 2020, but the product won't be sold for several years. https://t.co/2JxXpmoCkq",23,43,1527376447177797644,
82,2022-05-19 00:35:01+00:00,APFactCheck,"Life on Mars? Not quite. NASA officials say recent photos from the Red Planet don't show a ""doorway"" suggestive of life, as some online have claimed, but a naturally occurring crevice on a mountainside. @AP has the facts. https://t.co/raj8UrOWRf",13,33,1527085381413388294,
83,2022-05-18 13:34:35+00:00,APFactCheck,"County election officials said a woman filmed inserting multiple ballots into a Pennsylvania drop box in 2021 was acting as a designated agent for voters with disabilities, not committing fraud. Here are the facts. https://t.co/QKUfxezzH2",12,36,1526919178439077889,
84,2022-05-17 21:05:17+00:00,APFactCheck,"Former President Trump claimed that when he was “in charge,” 18 months went by without a U.S. soldier dying in Afghanistan. But that 18-month stretch includes part of the Biden administration and there were some non-combat deaths. Here are the facts. https://t.co/7vgwj8R3Ew",353,642,1526670212581445635,
85,2022-05-16 22:51:10+00:00,APFactCheck,Online posts used an image of a healthy newborn baby to distort the facts around a bill that would have codified the 1973 Roe v. Wade decision into federal law. https://t.co/rBh9vqsDom,12,17,1526334470051315712,
86,2022-05-13 16:47:17+00:00,APFactCheck,"A New Zealand grocery store didn’t post a government-endorsed sign telling unvaccinated job applicants to “go home,” as social media posts have falsely suggested. Here are the facts. https://t.co/zC5HbbJoTY",9,14,1525155733276348417,
87,2022-05-13 14:53:06+00:00,APFactCheck,"Despite widespread claims online:
• A Tennessee law doesn't ban Plan B.
• Amy Coney Barrett didn't cite a need for a “domestic supply of infants” in a leaked draft opinion.
• Dominion's lawsuits against Rudy Giuliani and Sidney Powell aren't resolved.
https://t.co/Sx3Szh7JIH",33,67,1525126996044533761,
88,2022-05-12 21:53:51+00:00,APFactCheck,"Dominion Voting Systems’ defamation lawsuits against attorneys Sidney Powell and Rudy Giuliani are ongoing, despite false claims that the cases had been resolved. https://t.co/mtEjv1Lnmj",708,1240,1524870493832101888,
89,2022-05-11 23:44:28+00:00,APFactCheck,"A map of boats off China's coast is being shared online as evidence that the country’s lockdowns are causing backups. While wait times are up, the map misrepresents the number of cargo ships and shows a standard volume of marine traffic, experts say. https://t.co/zD4sSUkW8y",59,107,1524535945034444802,
90,2022-05-11 18:40:46+00:00,APFactCheck,Imagery from a video game is being misrepresented online as a Ukrainian drone attack on Russian warships. @AP has the facts. https://t.co/DQ26wO7tDY,19,32,1524459516716326912,
91,2022-05-09 21:44:12+00:00,APFactCheck,"A new Tennessee law adds strict penalties in regulating how abortion pills can be distributed. But it doesn’t ban Plan B or “morning after” medications used to lower the risk of pregnancy after sex, as some claim. Here are the facts. https://t.co/SmCOybgnot",27,43,1523780901301329926,
