,Time,User,Tweet,RetweetCount,LikeCount,TweetID,Geo
0,Sat Jul 30 21:58:59 +0000 2022,BandyGit,"In 1905 French psychologists
Alfred Binet &amp; Theodore Simon
created an intelligence test titled ‘New Methods for
Diagnosing Idiocy, Imbecility &amp; Moron Status'.
The 2022 version of the test is:
Do u still believe any of this BS?
If ‘yes’ then u are a moron. https://t.co/AMj35PWWfg",1,2,1553500428138078208,
1,Sat Jul 30 17:52:35 +0000 2022,BandyGit,"@SadiqKhan @Julie_BJO What about the visible killers with knives, are you doing something about that?",0,3,1553438420265050115,
2,Sat Jul 30 17:27:54 +0000 2022,BandyGit,"2 years ago this was on the CDC website (maybe it still is).
Think of all those millions of people that have ‘tested positive’ for THE COMMON COLD and survived. 
It can only be because of the jabs. https://t.co/Sj2XkUWinx",4,6,1553432209729675265,
3,Sat Jul 30 17:00:16 +0000 2022,BandyGit,"Fauci &amp; CDC enlisted MSM &amp; Big Tech to censor information on jab injuries and deaths.
Page shown here from Robert F Kennedy Jr’s book ‘The Real Anthony Fauci’. https://t.co/xoIaYSgntv https://t.co/6GWgaptqWh",1,3,1553425254172835841,
4,Sat Jul 30 15:55:28 +0000 2022,BandyGit,"Dutch Farmer sees the Reality After Being Push€d to the Edg€ By the Gov€rnm€nt‼️
""I never wanted to believe it [a secret ag€nd@]. Neither in conspiracy theories, but all these conspiracy theories turn out to become true...""‼️☝🤔🙏👇
#Agenda2030 #ClimateScam #FarmersProtest https://t.co/jNym1RVxXZ",127,0,1553408946106470407,
5,Sat Jul 30 11:34:59 +0000 2022,BandyGit,"@fedup42Mn There’s no point trying to have a rational discussion with people that are so obviously suffering from mental illness. 
They live in a totally different reality to us, we’ll just have to leave them to it.",0,0,1553343395615105024,
6,Sat Jul 30 09:06:34 +0000 2022,BandyGit,"@BlloydbLloyd @Resist_05 That’s very likely, they’ll use any means possible to get what they want.",0,1,1553306045497360385,
7,Sat Jul 30 07:41:28 +0000 2022,BandyGit,@BlloydbLloyd @Resist_05 No doubt that they exploit the depraved for their own ends.,0,0,1553284626554159104,
8,Sat Jul 30 06:55:08 +0000 2022,BandyGit,@Resist_05 This clip of the UK Conservative Party whip in the 1970’s describing how they helped out MP’s who had problems with ‘small boys’ so they could control them ‘forever more’ 👇🏻 https://t.co/HZXBuuJg4d,28,55,1553272967483871234,
9,Fri Jul 29 22:47:49 +0000 2022,BandyGit,"This is huge!

https://t.co/b17uWijfQA",4391,0,1553150331734970373,
10,Fri Jul 29 21:58:47 +0000 2022,BandyGit,"@imogennkay It does have advice on how to help people, although I think the main difference with Covid is how fear has influenced the way people have acted.
Here’s the back page of the book which provides a bit more information on the contents. https://t.co/qpbEDKFTlz",0,1,1553137990041567234,
11,Fri Jul 29 18:57:18 +0000 2022,BandyGit,@bobscartoons @DeanSmi47962704 Why do those soy boys always look the same?,0,0,1553092317367746561,
12,Fri Jul 29 18:50:22 +0000 2022,BandyGit,"To avoid breaching dangerous misinformation rules, when someone uses the term ‘Long Covid’ I think Twitter needs to insist that it’s written like this : 
‘🤣Long🤣Covid🤣’",0,1,1553090575733252098,
13,Fri Jul 29 16:59:26 +0000 2022,BandyGit,"Remember the good old days when vaccines were tested for years before being given to billions of people &amp; there was no such thing as Sudden Adult Death Syndrome?
There couldn’t possibly be a link could there?
Hush my conspiracy theorist mouth.",2,8,1553062656122183680,
14,Fri Jul 29 14:11:16 +0000 2022,BandyGit,This ‘factory’ is probably funded by the UK government. https://t.co/JOMR3tVcTo,0,2,1553020334537842688,
15,Fri Jul 29 14:08:04 +0000 2022,BandyGit,A nurse speaks the truth 👇🏻 https://t.co/gt1KWlH2kB,1,3,1553019529147650049,
16,Fri Jul 29 12:49:58 +0000 2022,BandyGit,"Tim Fortescue (Tory Party Whip 1970-73): ‘Any MP who was in trouble…it might be a scandal involving small boys..they’d come &amp; ask if we could help..&amp; we would do everything we can..because if we could get a chap out of trouble, he will do as we ask forever more’. https://t.co/6uSxTQRAPt",2,2,1552999875733856256,
17,Fri Jul 29 10:51:12 +0000 2022,BandyGit,"Covid Cultists say ‘The jabs were never meant to stop u from getting it or passing it on, they (the govts) never said that’.

They did say that. They were lying to people then &amp; they are still lying now.

DO THE RIGHT THING. 
STOP TAKING THE JABS. 
THEY ARE ALL RISK &amp; NO BENEFIT. https://t.co/j5bQB1nOgj",1,3,1552969988658659329,
18,Fri Jul 29 09:51:44 +0000 2022,BandyGit,This is true comedy 😂👇🏻 https://t.co/i2REUtMKWS,2,5,1552955021867814912,
19,Fri Jul 29 09:45:51 +0000 2022,BandyGit,"And again... Aus 🇦🇺 My Word, grab The Popcorn 🍿 This is Epic 💣Senator Malcolm Roberts drops some Monster WAX Truth Bombs...✈️💣🔥👊 https://t.co/6hXcxnPVZ9",314,0,1552953542553780224,
20,Fri Jul 29 09:41:07 +0000 2022,BandyGit,"Jab-Induced Infertility? Every Man and Woman Should Be Concerned

Dr. Peter McCullough: ""[Spike protein] almost certainly is causing death and destruction of those precious ovarian cells.""

""Those lower in range will be rendered infertile through each injection period."" https://t.co/gCyzzFDYmK",186,0,1552952349399859201,
21,Fri Jul 29 07:50:50 +0000 2022,BandyGit,"America First Legal released documents obtained from CDC revealing what it called “concrete evidence of collusion” between the CDC and social media companies to censor free speech and promote Biden administration propaganda.

https://t.co/gasWI3CoLd",2557,0,1552924595090587653,
22,Thu Jul 28 22:42:40 +0000 2022,BandyGit,"Official data from New South Wales in Australia.
More jabs = more chance of ending up in hospital. https://t.co/CRF7fRMv1R",0,2,1552786645640003585,
23,Thu Jul 28 19:27:43 +0000 2022,BandyGit,@HighWireTalk Sounds like there just needs to be a temporary cockdown to slow the spread of monkey pox.,0,2,1552737585235169287,
24,Thu Jul 28 18:14:17 +0000 2022,BandyGit,"@myhollycat @nick82388536 Fair enough, the facts are all there for anyone that wants to see them. If not having pointless dangerous injections every few months makes me ‘very dim’ I’m ok with that.
I wish u well.",0,0,1552719105702219777,
25,Thu Jul 28 17:38:37 +0000 2022,BandyGit,@myhollycat @nick82388536 https://t.co/JW7ZGfG4QY,0,1,1552710130172661760,
