,Time,User,Tweet,RetweetCount,LikeCount,TweetID,Geo
0,Sun Jul 31 01:41:46 +0000 2022,MackayIM,Thread https://t.co/rQKr7xns55,1,0,1553556493248921600,
1,Sun Jul 31 01:41:13 +0000 2022,MackayIM,"@PippaSheaIsMe Yep. Exacalty why we need schools and businesses to care more about their clients (students and workers) and clean the air so this part of it, which is out of our ""personal responsibility"" control, get some love!",0,0,1553556355671560192,
2,Sun Jul 31 01:38:12 +0000 2022,MackayIM,"#wearamask 😷
#CovidIsNotOver https://t.co/ehA4SICuVl",2,0,1553555594388606976,
3,Sun Jul 31 01:38:07 +0000 2022,MackayIM,@AtticusFound @EpiEllie I'd still bet it was via an inhaled Infectious dose before it was via a surface.,0,4,1553555573538717696,
4,Sun Jul 31 01:37:30 +0000 2022,MackayIM,@sciliz @mervetepePhD 👍,0,2,1553555419725176832,
5,Sun Jul 31 01:36:24 +0000 2022,MackayIM,"@BrettLindenbach You've changed from saying N95s can't stop individual virions to they don't allow precisely 5% of predefined particle sizes through? 
I'm not really here for this sort of back and forth.",0,1,1553555142158729216,
6,Sun Jul 31 01:29:27 +0000 2022,MackayIM,@sciliz @mervetepePhD I might let you make it more complicated if that's your thing.,0,3,1553553395180773377,
7,Sun Jul 31 01:28:41 +0000 2022,MackayIM,@MackayIM This glues it all together thanks Ian!,1,0,1553553201416503296,
8,Sun Jul 31 01:23:41 +0000 2022,MackayIM,"Just a note to say how much I appreciate my Tweeps who amplify the important basic content so more can see it. And if you RT+comment, I can easily RT *that* and so more of the network sees the important stuff.
🙏",4,34,1553551943280500736,
9,Sun Jul 31 01:20:42 +0000 2022,MackayIM,"good principles, well explained 🧵- thanks, @MackayIM https://t.co/W7eIn8gjcR",4,0,1553551192055496704,
10,Sun Jul 31 00:17:41 +0000 2022,MackayIM,"After the rain. 
#PeacefulMoment https://t.co/ZPCB2N2Jl8",3,36,1553535333425610754,
11,Sun Jul 31 00:14:08 +0000 2022,MackayIM,@SaintSiren Bathrooms! Do those masks reseal?,0,0,1553534439241957381,
12,Sun Jul 31 00:12:27 +0000 2022,MackayIM,🧵 https://t.co/8Y3iEYbbTO,3,0,1553534018272231425,
13,Sun Jul 31 00:12:21 +0000 2022,MackayIM,@RageSheen @Once_Was_Arnold @RichardfromSyd1 Is it part of numbers?,0,2,1553533993127399425,
14,Sun Jul 31 00:09:52 +0000 2022,MackayIM,"@BNOFeed Oh, no! Didn’t the CDC (as they insisted just a few months ago) tell him he was cleared to return to work just after five days and that persisted or repeated antigen test positivity has nothing to do with infectivity?",5,0,1553533364766150656,
15,Sun Jul 31 00:09:11 +0000 2022,MackayIM,Either this covid BA5 wave is deadlier or we are doing less to@mitigate impact or …both . https://t.co/1pL2oHawcA,11,0,1553533193365917696,
16,Sun Jul 31 00:09:01 +0000 2022,MackayIM,@ketaminh Doing less IMO.,1,3,1553533150902759424,
17,Sun Jul 31 00:08:23 +0000 2022,MackayIM,"Long-lasting loss of smell &amp; taste occurs in ~5% of #LongCovid cases, according to a new British study. The losses have been a post-Covid hallmark since early 2020. New finding is based on a meta analysis of 18 previous studies involving 3700 patients https://t.co/ERDtuDypek",20,0,1553532995365380096,
18,Sun Jul 31 00:06:52 +0000 2022,MackayIM,@lyndalpn 🤣,0,0,1553532611133583361,
19,Sun Jul 31 00:06:29 +0000 2022,MackayIM,@RageSheen @Once_Was_Arnold So what proportion are testing positive but not in hospital/coming to hospital because of COVID-19?,0,2,1553532517059547136,
20,Sun Jul 31 00:05:43 +0000 2022,MackayIM,@ericlindsay I've known that feeling most of this year 😉,0,0,1553532322259300352,
21,Sun Jul 31 00:05:00 +0000 2022,MackayIM,@MackayIM https://t.co/UZtKQRdyHr,7,0,1553532141056966656,
22,Sun Jul 31 00:04:39 +0000 2022,MackayIM,@TimWilkins12 It filters both ways (if tightly fitting) so is usful as source control and PPE.,0,0,1553532054813671424,
23,Sun Jul 31 00:00:56 +0000 2022,MackayIM,@HieronymusFTP Yeah. That's the point . Make the environment safer. Reduce the risk when we can't wear a mask but still want to be with humans!,0,9,1553531119660072961,
24,Sat Jul 30 23:59:58 +0000 2022,MackayIM,@lyndalpn My pleasure https://t.co/Q8KBX3OB9E,0,21,1553530875664809984,
