,Time,User,Tweet,RetweetCount,LikeCount,TweetID,Geo
0,Sun Jul 31 00:47:46 +0000 2022,Rustybe96849965,Pfizer profited 10 billion dollars this quarter but recently claimed they don't have the resources to be transparent about how many people are obtaining vaccine injuries.,2645,0,1553542905528258561,
1,Sun Jul 31 00:47:28 +0000 2022,Rustybe96849965,"Pfizer contravened numerous clinical-trial conventions.
In fact, we don’t know if the vaccines are safe and effective. The rushed FDA action was based on extremely weak evidence. 
https://t.co/O46pHiRYw0",77,0,1553542830286688256,
2,Sun Jul 31 00:46:36 +0000 2022,Rustybe96849965,"@Gabriel_Pogrund The Windsor crime family should be on a watch list, not receiving money from the struggling British taxpayer.

#AbolishTheMonarchy #endthemonarchy 
#WindsorWatchList https://t.co/7dLrjg5UR2",74,0,1553542612551929857,
3,Sun Jul 31 00:36:02 +0000 2022,Rustybe96849965,Get ready for the liberals to switch the Ukraine flags in their bios to Taiwan flags.,382,0,1553539951073103874,
4,Sat Jul 30 21:56:02 +0000 2022,Rustybe96849965,https://t.co/is6REFAHrW,45,0,1553499688262897673,
5,Sat Jul 30 21:54:42 +0000 2022,Rustybe96849965,"BBC NI News which so often now reports news from the Republic, fails to report that the decision by Dublin that farmers must reduce carbon by 25 per cent! This could mean a reduction of 5 per cent in each herd of cattle. All because of a requirement by the EU! Why the silence??",568,0,1553499350118109184,
6,Sat Jul 30 21:54:22 +0000 2022,Rustybe96849965,I have a dream that my four little children will one day live in a nation where they will not be judged by their vaccination status but by the content of their character.,56,0,1553499268878573568,
7,Sat Jul 30 21:51:26 +0000 2022,Rustybe96849965,"You can suppress a hashtag, but you can’t hide the fact that Ukrainian Nazis are proud to show you who they are. The U.S. should NOT be supporting this. https://t.co/UutaIJ3v6Y",340,0,1553498526646239235,
8,Sat Jul 30 21:50:58 +0000 2022,Rustybe96849965,"My transition from being pro- to anti- Ukraine happened gradually over the last year, and I never took the time to apologize for arguing against people who tried to warn me about Ukrainian Nazis. Y'all were right, I was wrong, and I'm sorry I didn't see it sooner. 🙏🏽",2721,0,1553498412745723904,
9,Sat Jul 30 21:48:13 +0000 2022,Rustybe96849965,"BREAKING: Apparently lots of people are upset that Scousers refused to sing a ""national anthem"" about God saving a woman who paid off her son's rape victim with your money x",2711,0,1553497720572239873,
10,Sat Jul 30 21:47:12 +0000 2022,Rustybe96849965,Joe Biden has tested positive for Covid again.. what a farce lol,89,0,1553497464610721793,
11,Sat Jul 30 21:45:48 +0000 2022,Rustybe96849965,"@LezLuthor Oceans can’t curve, do it over a ball and find out? I notice they didn’t do it on the balloon",0,4,1553497110468870144,
12,Sat Jul 30 21:43:38 +0000 2022,Rustybe96849965,Note to @catturd2 ... https://t.co/vje6Oligc1,87,0,1553496566060777475,
13,Sat Jul 30 20:29:24 +0000 2022,Rustybe96849965,Watch the skies. Weather modification at work. Don’t let the media fool you with ‘climate change’ talk. Climate change is real but it’s intentionally man made by government authorised aircraft. https://t.co/9MPcB1kuxL,7,0,1553477883762466816,
14,Sat Jul 30 20:27:09 +0000 2022,Rustybe96849965,@Treblasiddor @2022moose @OftenContrarian @SkyNews Biden “ you’re not going to get Covid if you take this vaccine“ okay BOT 😂🤡,0,0,1553477316285792257,
15,Sat Jul 30 20:17:32 +0000 2022,Rustybe96849965,🤣🤣🤣🤣 this shit cant be real.🤣🤣🤣🤣 https://t.co/NNVUzUdqUp,4223,0,1553474898063941632,
16,Sat Jul 30 19:25:23 +0000 2022,Rustybe96849965,@2022moose @OftenContrarian @SkyNews they were sold to us like that. Hence the mandates otherwise why the mandates?,0,2,1553461775038926848,
17,Sat Jul 30 19:00:39 +0000 2022,Rustybe96849965,@LeilaniDowding 🙋‍♂️,0,0,1553455550356152326,
18,Sat Jul 30 18:55:35 +0000 2022,Rustybe96849965,“Thousands of People” they say. https://t.co/X4nbZSkqqY,3,0,1553454275694559235,
19,Sat Jul 30 18:55:15 +0000 2022,Rustybe96849965,"This is classic BLACK PROPAGANDA

Black Propaganda is in many ways a DOUBLE BLUFF, its when the BIG LIE is actually coming from the ones who they say it’s against. https://t.co/Q4Vullcw7U",3,0,1553454189614960640,
20,Sat Jul 30 18:32:49 +0000 2022,Rustybe96849965,Senator Alex Antic - TIME TO BIN THE MASKS 😷 👏👏👏 https://t.co/BsPfhGUVIl,100,0,1553448546275364864,
21,Sat Jul 30 18:27:09 +0000 2022,Rustybe96849965,"Twitter hemorrhaging evidence of CDC collusion, malfeasance, and suppression of free speech is found to be censoring leading news outlet Epoch Times.   As more censorship happens audiences are further drawn to those sources of information for the truth.  Keep it up Twitter! https://t.co/87EnjyCbl5",3212,0,1553447119310168066,
22,Sat Jul 30 18:27:00 +0000 2022,Rustybe96849965,"Amazing 

Wikipedia has now changed the definition of the word Definition https://t.co/fPO0Y5HUYP",4772,0,1553447080366166017,
23,Sat Jul 30 18:26:26 +0000 2022,Rustybe96849965,"Whether you think Covid policies were right or wrong we can surely agree that people have been through a v hard time. What sort of leaders then use people's weakened state as an opportunity to impose other agendas? Certainly not those who ""lead with empathy"".History will condemn. https://t.co/p8DKKXjCnm",33,0,1553446938057625601,
24,Sat Jul 30 18:17:39 +0000 2022,Rustybe96849965,"2/ It gets worse, it now appears there is a 5th doctor, a triathlete who has died. THAT'S of course why you will see the AP's BS trending to hide the #VaccineInjured #VaccineDeaths 

https://t.co/xLZ5jd0il6",5,0,1553444728712085505,
25,Sat Jul 30 18:15:35 +0000 2022,Rustybe96849965,"It’s happening! Thank you #Uruguay!
#FauciForPrison #Pfizer #shortpfizer #sellpfizer #vaccine #VaccineInjured #myocarditis #bloodclots https://t.co/oL7w763mkJ",195,0,1553444209658667010,
26,Sat Jul 30 18:14:52 +0000 2022,Rustybe96849965,How do you put a percentage on a disability?? 😦 #VaccineInjured #StoptheShots #SaturdayMorning #SaturdayVibes https://t.co/CuG0CvLjJE,24,0,1553444027177095171,
27,Sat Jul 30 18:12:29 +0000 2022,Rustybe96849965,"@Robert_Browne @Em_Down_Under Anomalies are expected w/any #vaccine? The WHO’s VigiAccess reported 6951 AE (adverse events) for the SMALLPOX 💉&amp; 125,888 for the POLIO 💉 since 1968. 
On 7/16/22 the COVID 💉had 4,029,255 AE in 2 years. 2 wks later it’s jumped to 4,100,239, but it’s just fine🙄 #VaccineInjured https://t.co/5vcVElQQbc",15,0,1553443426296791042,
28,Sat Jul 30 18:10:37 +0000 2022,Rustybe96849965,"Dr. Russell Blaylock wrote an incredible article ...definitely covers it all! Right from top to bottom! #VaccineInjured #vaccinedeaths
#realnotrare #CanWeTalkAboutIt #Pfizer #Moderna #Pigpharma https://t.co/DHW6pgoBsX",58,0,1553442957793312768,
29,Sat Jul 30 18:10:01 +0000 2022,Rustybe96849965,"Get well cards my daughter made for me. She still doesn’t understand why mommy has to sleep so much, can’t walk, can’t see properly, and misses out on literally everything 😢 😭 #VaccineInjured my autoimmune nightmare continues. https://t.co/hKzPJIqqDm",28,0,1553442808354275329,
30,Sat Jul 30 18:08:59 +0000 2022,Rustybe96849965,"To frightening for the weak minded to face.
#VaccineInjured https://t.co/TDCO6UqVYA",19,0,1553442545266466819,
31,Sat Jul 30 18:08:46 +0000 2022,Rustybe96849965,This doctor wanted to gather and share the stories of those injured by the #ClotShot. He said as much on twitter. Got thousands of replies. Twitter soon nuked his account. @twitter is silencing the #VaccineInjured. Twitter is covering up mass pharma crimes. Twitter is complicit https://t.co/sP77GIn7O0,91,0,1553442491789201409,
32,Sat Jul 30 18:07:19 +0000 2022,Rustybe96849965,For fuck sakes! #VaccineInjured #VaccineSideEffects https://t.co/f08qB1v3TP,128,0,1553442126171619329,
33,Sat Jul 30 18:06:30 +0000 2022,Rustybe96849965,This is huge. https://t.co/KwfmEef2oX,416,0,1553441923377119232,
34,Sat Jul 30 18:06:24 +0000 2022,Rustybe96849965,Died of Covid? REALLY!!!! 'AGREED TO TAKE THE JAB'. FFS #VaccineSideEffects #VaccinesWork #vaccineinjuries #vaccineinjured #myocarditis #VaccineDeaths #VaccineDeath #Genocide https://t.co/Ft4uliBBeI,44,0,1553441897468813312,
35,Sat Jul 30 18:05:51 +0000 2022,Rustybe96849965,It's time to drop the facade #VaccineInjured https://t.co/LsmOGGrYg0,157,0,1553441757148372992,
36,Sat Jul 30 18:05:29 +0000 2022,Rustybe96849965,"When do the Nuremberg II Trials start again?

#VaccineSideEffects #VaccineInjured #Nuremberg2 

""Biggest scandal in medical history!""

The words are being spoken! 👇👇 https://t.co/oES3WuDutv",0,0,1553441665540554752,
37,Sat Jul 30 18:04:52 +0000 2022,Rustybe96849965,"My husband was #VaccineInjured he went to the ER twice the first month after receiving the 1st Pfizer shot. Heart palpitations, shortness of breath, chest pains. They checked his vital signs &amp; told him he was just having a panic attack. 9 months later he’s still dealing with it!",208,0,1553441509948755968,
38,Sat Jul 30 18:04:19 +0000 2022,Rustybe96849965,"The medical system created the mess we are in, and now they are turning on the public.
No faith!
#VaccineInjured https://t.co/Z08V11hhTD",74,0,1553441371977093120,
39,Sat Jul 30 18:01:44 +0000 2022,Rustybe96849965,"They’re never going to get it. 
The worst part is that mothers are willingly injuring their kids.#vaccinatiecampagne #VaccineInjured #vaccinatieschade https://t.co/fmTqvtuCoH",265,0,1553440723252482048,
40,Sat Jul 30 18:01:15 +0000 2022,Rustybe96849965,#VaccineInjured Pilot speaks out https://t.co/ZLJzXyzZQZ,1563,0,1553440599507931138,
