,Time,User,Tweet,RetweetCount,LikeCount,TweetID,Geo
0,Sun Jul 31 00:15:41 +0000 2022,VPrasadMDMPH,"White House policy: stay safe! Wear a mask to avoid COVID, but don't worry you will all get it anyway; When you do you take Paxlovid-- obv if CVS says ok--If your symptoms return maybe take some more 🤷idk dude; Wash it down with a new booster this Sept

Level of evidence: 🗑️",354,1687,1553534828494000128,
1,Sat Jul 30 21:51:22 +0000 2022,VPrasadMDMPH,"I have seen people put a mask on someone with shortness of breath

And over an ET tube for an intubated patient being moved down the hall

Sad to see this 👇 https://t.co/6uoKZGhw1n",41,262,1553498510711959558,
2,Sat Jul 30 21:47:18 +0000 2022,VPrasadMDMPH,"Vaccine hesitancy already at an all time high, and now patently unethical police practices are going to undermine our screening programs for deadly diseases with urgent management considerations. https://t.co/jOhfYgZrur",28,0,1553497486525808640,
3,Sat Jul 30 21:23:45 +0000 2022,VPrasadMDMPH,Epic HR is not applicable to the majority of Americans.  FDA should have demanded Pfizer run a trial in vax'd people. WH should not have paid till results in.,23,219,1553491563598057472,
4,Sat Jul 30 21:19:42 +0000 2022,VPrasadMDMPH,"CDC is just encouraging healthy triple vaxd 25 year olds to take Paxlovid and breed resistance. 

You can pay for all the communication coaching you want, but incompetent policy made by people who cannot read trials can't be fixed. https://t.co/DSimiyMpto",148,644,1553490543157465090,
5,Sat Jul 30 21:14:15 +0000 2022,VPrasadMDMPH,"Public Health is diminished not strengthened by the irrational policies that kept this man from playing. Banning a person who had covid from US bc he didn't take a vax that can't halt transmission is nuts.

The backlash will hurt.  
https://t.co/RW8orTw0f2 https://t.co/Itt3adnFxv",60,313,1553489172932939776,
6,Sat Jul 30 21:11:27 +0000 2022,VPrasadMDMPH,"So many wrong answers to this 

Retesting positive without symptoms is not rebound in that people arent doing worse 

This is not a call for longer courses

If high risk and unvax take a 5 day course

In vax + boosted likely less effective than tamiflu for flu. Not good company https://t.co/puxiIhjngG",14,0,1553488467664875520,
7,Sat Jul 30 21:09:52 +0000 2022,VPrasadMDMPH,Vintage @Plenary_Session w @Bloodman 👇👇 https://t.co/QZ7Aq7CzFT,2,13,1553488067557675009,
8,Sat Jul 30 21:00:51 +0000 2022,VPrasadMDMPH,"The biggest gain from Paxlovid, IMO, ought to be to teach the public the all-important concept of external validity of trials 

So often, trials are held up as gold standards but don't necessarily apply to our particular patient

1/n https://t.co/D5YTZLiTEm",30,0,1553485797734567936,
9,Sat Jul 30 19:03:46 +0000 2022,VPrasadMDMPH,"When you give Paxlovid to someone who's had three or four shots, you have no randomized data to hang your hat on

Then you get rebound. And you have no idea whether to restart, give a longer course, or if it didn't help at all. 

Evidence-based medicine failure.",740,3876,1553456331981434880,
10,Sat Jul 30 16:55:56 +0000 2022,VPrasadMDMPH,"ID epidemiologist from UCSD sets the record straight

An honest account of evidence
https://t.co/2cVWOq3MMI",13,74,1553424165381672961,
