,Time,User,Tweet,RetweetCount,LikeCount,TweetID,Geo
0,2022-07-23 22:22:22+00:00,VPrasadMDMPH,"RT @NateSilver538: This seems right: people resist ""taking COVID seriously"" because they fear they'll be asked to make major lifestyle sacr…",184,0,1550969597381160960,
1,2022-07-23 22:16:39+00:00,VPrasadMDMPH,RT @CostAnEffect: But it is so much easier for take-COVID-seriously advocates to tweet that we are not taking COVID seriously than put fort…,4,0,1550968161163304960,
2,2022-07-23 22:08:41+00:00,VPrasadMDMPH,RT @cpiller: Thoughtful thread on some of the bigger picture questions on apparent image manipulation.,3,0,1550966155015204864,
3,2022-07-23 21:25:50+00:00,VPrasadMDMPH,"If we got trial data than I suspect we will be talking about a lot more than WESTERN BLOTS

Again, I don't think it is common

I think it is rare

But even 1 in 1000 is billions of dollars

And massive human lives at stake",6,49,1550955369878278145,
4,2022-07-23 21:25:49+00:00,VPrasadMDMPH,"At a minimum we need to do what the ICMJE flirted with years ago

ICMJE backed away from data sharing

They chickened out and just mandate a useless statement

https://t.co/2BA3nZ9Uy3 https://t.co/l6QVxwNy2N",3,40,1550955367760220160,
5,2022-07-23 21:25:49+00:00,VPrasadMDMPH,"One of the most popular papers over the last 20 years was this one
it sketches out the issues in science, conceptually
https://t.co/i4aUEhoEo5",4,31,1550955365809807360,
6,2022-07-23 21:25:48+00:00,VPrasadMDMPH,"I truly think intentional fraud is rare, but also that most papers are wrong
They are wrong because of wishful thinking
biased analyses
multiplicity
Esp. retrospective work, but perhaps even prospective too
Been working in this space for 10 years
https://t.co/E9zwLQA8tN",7,41,1550955363616165888,
7,2022-07-23 21:25:48+00:00,VPrasadMDMPH,"The data is confidential, top secret, proprietary
The journal won't compel authors to share
How deep is this rot?
What happens if every trial had to publish or post the dataset?
Especially papers that make causal claims
🤷‍♀️🤷‍♀️",5,42,1550955361573621760,
8,2022-07-23 21:25:47+00:00,VPrasadMDMPH,"Most scientific studies don't present the raw images
They tell you what happened to people
Sometimes, the tables are are problematic like, this e.g. 
The numbers just don't add up. wtf.
But I have no way to probe deeper
https://t.co/I9PMOudwPo",3,21,1550955359107313666,
9,2022-07-23 21:25:47+00:00,VPrasadMDMPH,"Repeatedly all star vision, 👁️ people find tampering with IMAGES in key science papers

Others, like one famous case, found errors with data in tables that was incompatible with other data

But think about it.  Why do these errors make the news?
Because you can SEE THEM",1,20,1550955357043769344,
10,2022-07-23 21:25:45+00:00,VPrasadMDMPH,"The stakes in science are high
Claiming you made a novel discovery is what people cherish
Criticizing established work; descriptive analysis = yawn
You have to find some new CAUSAL thing and you are golden
The incentive is everything
the Penality is everything about ur career",2,33,1550955351842758657,
11,2022-07-23 21:25:45+00:00,VPrasadMDMPH,"Brilliant article by @cpiller 
Smells like image tampering in key papers for Amyloid hypothesis
It's likely just the TIP of the 🧊berg
Think about it
We can SEE the images
For most papers, you don't 👀data
A few thoughts on science 🧵
https://t.co/0q9BSHjpnO",61,202,1550955348810272771,
12,2022-07-23 20:26:24+00:00,VPrasadMDMPH,"If every school kid intermittently wore a cloth mask  when community rates are high....
If every adult masked up when wastewater signals were concerning....
If every person did all the ""right things"" ""super dodgers"" do....

This graph will continue it's relentless rise 
Repeat https://t.co/eLEYhrmmMd",58,342,1550940416161095681,
13,2022-07-23 20:11:40+00:00,VPrasadMDMPH,"@montreal_girl @eliowa @K_Sheldrick @m_levayer Eli is not good at accurately summarizing.  A habitual problem.

Maybe a video will help. 
https://t.co/lITa2NgEYD",0,1,1550936707494580224,
14,2022-07-23 20:00:02+00:00,VPrasadMDMPH,@ElleMandell @DGlaucomflecken This study is not the best for interpreting relative risks. Because it is confounded. But it does tell you the absolute risk either way is very very low.  I hope the video breaks it down.,0,2,1550933780549890048,
15,2022-07-23 19:57:46+00:00,VPrasadMDMPH,https://t.co/1c2FL6hIJ4,6,18,1550933206618083328,
16,2022-07-23 19:57:12+00:00,VPrasadMDMPH,@DGlaucomflecken https://t.co/Y7OFNN7QVe,5,20,1550933067677573121,
