,Time,User,Tweet,RetweetCount,LikeCount,TweetID,Geo
0,2022-07-23 17:40:42+00:00,hodgetwins,"RT @julie_kelly2: In addition to the Bannon verdict, Graves’ office is undefeated before DC juries: all guilty verdicts on every count afte…",529,0,1550898716290195456,
1,2022-07-23 17:40:19+00:00,hodgetwins,"RT @BrandonStraka: Another J6 defendant has committed suicide. He committed no violence or destruction. 

RIP Mark Aungst.",3554,0,1550898618298662913,
2,2022-07-23 17:39:42+00:00,hodgetwins,RT @BuckSexton: Fauci would have been the chief commissar in 1930’s Kiev assuring everyone that “reports of a grain shortage are counter-re…,334,0,1550898463155568642,
3,2022-07-23 16:39:38+00:00,hodgetwins,"RT @RaheemKassam: I’m sure someone must be, so forgive my ignorance, but are any political candidates currently running on stripping Big Ph…",621,0,1550883346271674369,
4,2022-07-23 16:34:34+00:00,hodgetwins,How society was before the woke victim/I’m offended mindset took over https://t.co/i1DWe73I3g,240,1561,1550882072755159044,
5,2022-07-23 14:04:48+00:00,hodgetwins,"RT @TulsiGabbard: Whatever you think of Bannon, the fact he was charged with contempt of Congress, but Clapper, Brennan &amp; others who lied t…",11385,0,1550844382449995776,
6,2022-07-23 03:17:44+00:00,hodgetwins,RT @hodgetwins: The enemies of the USA are running the USA.,2287,0,1550681542556524553,
7,2022-07-22 23:34:31+00:00,hodgetwins,@ronnieboy671 @dcexaminer Na it’s called Free Speech 🤡,0,0,1550625367689285633,
8,2022-07-22 22:41:33+00:00,hodgetwins,🤣 https://t.co/XX8aR2veml,118,1071,1550612036681334784,
9,2022-07-22 21:25:30+00:00,hodgetwins,@DGladden @billburr 🤡,0,7,1550592899305181185,
10,2022-07-22 20:02:37+00:00,hodgetwins,"RT @RepThomasMassie: Democrats want to take guns away from law-abiding citizens, and arm the USDA and Dept. of Education with what they cal…",2398,0,1550572040805093378,
11,2022-07-22 19:51:42+00:00,hodgetwins,RT @BowTiedRanger: Anyone who is serious about running as a Republican in 2024 better add “Pardon Steve Bannon” to their list of things to…,104,0,1550569295054241792,
12,2022-07-22 19:46:46+00:00,hodgetwins,"RT @laurenboebert: Steve Bannon is the latest in a long line of politically motivated convictions under the Biden Regime.

They know Steve…",6251,0,1550568053640990722,
13,2022-07-22 19:44:06+00:00,hodgetwins,The enemies of the USA are running the USA.,2287,16552,1550567381906460673,
14,2022-07-22 19:43:16+00:00,hodgetwins,Can’t get a fair trial in DC. https://t.co/c9WeZoVTmr,143,1111,1550567173118124033,
15,2022-07-22 18:17:44+00:00,hodgetwins,🤣🤣🤣🤣🤣 https://t.co/0lssRQpAli,80,1126,1550545644787757056,
16,2022-07-22 16:03:12+00:00,hodgetwins,"Thought this was a Babylon Bee article, it’s not. 🤡 https://t.co/g8YepkMCYe",599,3907,1550511788923527168,
17,2022-07-22 15:57:27+00:00,hodgetwins,Tucker’s right  https://t.co/Kji7cQDoZO,175,1227,1550510340978384896,
18,2022-07-22 15:55:55+00:00,hodgetwins,More than the straws they banned https://t.co/m1nZYFeiIz,134,1092,1550509955668738048,
19,2022-07-22 06:23:47+00:00,hodgetwins,"@PogCrab @Xtynction Dude, you are a socialist. Everyone already knows you're stupid. 🤡",1,5,1550365973328195585,
20,2022-07-22 06:13:25+00:00,hodgetwins,@PogCrab Hey member of the LGBTQabcsefg community is here. What letter are you representing today 🤣🤣🤣🤣,0,11,1550363368195665920,
21,2022-07-22 06:08:08+00:00,hodgetwins,@Valerie65646405 🤣,0,16,1550362036038557702,
22,2022-07-22 06:08:01+00:00,hodgetwins,@painthoven 🤣,0,5,1550362006015709184,
23,2022-07-22 06:06:27+00:00,hodgetwins,@DGladden @billburr You progressives are scum of the earth!,9,330,1550361613948973056,
24,2022-07-22 06:06:00+00:00,hodgetwins,"Hey everybody, how stupid is this guy, Derrick? Read his reply. Now on a scale of 1 through 10 everybody with 10 being the stupidest what say you 🤣 https://t.co/gllhTDjMeO",61,736,1550361501369712640,
25,2022-07-22 04:04:02+00:00,hodgetwins,".@billburr on point with abortion 💯 
https://t.co/g0NtCZAJ2k",1258,5889,1550330806714998786,
