,Time,User,Tweet,RetweetCount,LikeCount,TweetID,Geo,q0_label,q1_label,q2_label,q4_label
0,Sat Jul 30 21:58:59 +0000 2022,BandyGit,"In 1905 French psychologists
 Alfred Binet &amp; Theodore Simon
 created an intelligence test titled ‘New Methods for
 Diagnosing Idiocy, Imbecility &amp; Moron Status'.
 The 2022 version of the test is:
 Do u still believe any of this BS?
 If ‘yes’ then u are a moron. https://t.co/AMj35PWWfg",1,2,1.55E+18,,no,,,
1,Sat Jul 30 17:52:35 +0000 2022,BandyGit,"@SadiqKhan @Julie_BJO What about the visible killers with knives, are you doing something about that?",0,3,1.55E+18,,no,,,
2,Sat Jul 30 17:27:54 +0000 2022,BandyGit,"2 years ago this was on the CDC website (maybe it still is).
 Think of all those millions of people that have ‘tested positive’ for THE COMMON COLD and survived. 
 It can only be because of the jabs. https://t.co/Sj2XkUWinx",4,6,1.55E+18,,yes,yes,yes,yes
3,Sat Jul 30 17:00:16 +0000 2022,BandyGit,"Fauci &amp; CDC enlisted MSM &amp; Big Tech to censor information on jab injuries and deaths.
 Page shown here from Robert F Kennedy Jr’s book ‘The Real Anthony Fauci’. https://t.co/xoIaYSgntv https://t.co/6GWgaptqWh",1,3,1.55E+18,,yes,yes,yes,yes
4,Sat Jul 30 15:55:28 +0000 2022,BandyGit,"Dutch Farmer sees the Reality After Being Push€d to the Edg€ By the Gov€rnm€nt‼️
 ""I never wanted to believe it [a secret ag€nd@]. Neither in conspiracy theories, but all these conspiracy theories turn out to become true...""‼️☝🤔🙏👇
 #Agenda2030 #ClimateScam #FarmersProtest https://t.co/jNym1RVxXZ",127,0,1.55E+18,,,,,
5,Sat Jul 30 11:34:59 +0000 2022,BandyGit,"@fedup42Mn There’s no point trying to have a rational discussion with people that are so obviously suffering from mental illness. 
 They live in a totally different reality to us, we’ll just have to leave them to it.",0,0,1.55E+18,,no,,,
6,Sat Jul 30 09:06:34 +0000 2022,BandyGit,"@BlloydbLloyd @Resist_05 That’s very likely, they’ll use any means possible to get what they want.",0,1,1.55E+18,,,,,
7,Sat Jul 30 07:41:28 +0000 2022,BandyGit,@BlloydbLloyd @Resist_05 No doubt that they exploit the depraved for their own ends.,0,0,1.55E+18,,,,,
8,Sat Jul 30 06:55:08 +0000 2022,BandyGit,@Resist_05 This clip of the UK Conservative Party whip in the 1970’s describing how they helped out MP’s who had problems with ‘small boys’ so they could control them ‘forever more’ 👇🏻 https://t.co/HZXBuuJg4d,28,55,1.55E+18,,,,,
9,Fri Jul 29 22:47:49 +0000 2022,BandyGit,"This is huge!
 
 https://t.co/b17uWijfQA",4391,0,1.55E+18,,,,,
10,Fri Jul 29 21:58:47 +0000 2022,BandyGit,"@imogennkay It does have advice on how to help people, although I think the main difference with Covid is how fear has influenced the way people have acted.
 Here’s the back page of the book which provides a bit more information on the contents. https://t.co/qpbEDKFTlz",0,1,1.55E+18,,yes,no,no,no
11,Fri Jul 29 18:57:18 +0000 2022,BandyGit,@bobscartoons @DeanSmi47962704 Why do those soy boys always look the same?,0,0,1.55E+18,,,,,
12,Fri Jul 29 18:50:22 +0000 2022,BandyGit,"To avoid breaching dangerous misinformation rules, when someone uses the term ‘Long Covid’ I think Twitter needs to insist that it’s written like this : 
 ‘🤣Long🤣Covid🤣’",0,1,1.55E+18,,,,,
13,Fri Jul 29 16:59:26 +0000 2022,BandyGit,"Remember the good old days when vaccines were tested for years before being given to billions of people &amp; there was no such thing as Sudden Adult Death Syndrome?
 There couldn’t possibly be a link could there?
 Hush my conspiracy theorist mouth.",2,8,1.55E+18,,,,,
14,Fri Jul 29 14:11:16 +0000 2022,BandyGit,This ‘factory’ is probably funded by the UK government. https://t.co/JOMR3tVcTo,0,2,1.55E+18,,,,,
15,Fri Jul 29 14:08:04 +0000 2022,BandyGit,A nurse speaks the truth 👇🏻 https://t.co/gt1KWlH2kB,1,3,1.55E+18,,,,,
16,Fri Jul 29 12:49:58 +0000 2022,BandyGit,"Tim Fortescue (Tory Party Whip 1970-73): ‘Any MP who was in trouble…it might be a scandal involving small boys..they’d come &amp; ask if we could help..&amp; we would do everything we can..because if we could get a chap out of trouble, he will do as we ask forever more’. https://t.co/6uSxTQRAPt",2,2,1.55E+18,,,,,
17,Fri Jul 29 10:51:12 +0000 2022,BandyGit,"Covid Cultists say ‘The jabs were never meant to stop u from getting it or passing it on, they (the govts) never said that’.
 
 They did say that. They were lying to people then &amp; they are still lying now.
 
 DO THE RIGHT THING. 
 STOP TAKING THE JABS. 
 THEY ARE ALL RISK &amp; NO BENEFIT. https://t.co/j5bQB1nOgj",1,3,1.55E+18,,,,,
18,Fri Jul 29 09:51:44 +0000 2022,BandyGit,This is true comedy 😂👇🏻 https://t.co/i2REUtMKWS,2,5,1.55E+18,,,,,
19,Fri Jul 29 09:45:51 +0000 2022,BandyGit,"And again... Aus 🇦🇺 My Word, grab The Popcorn 🍿 This is Epic 💣Senator Malcolm Roberts drops some Monster WAX Truth Bombs...✈️💣🔥👊 https://t.co/6hXcxnPVZ9",314,0,1.55E+18,,,,,
20,Fri Jul 29 09:41:07 +0000 2022,BandyGit,"Jab-Induced Infertility? Every Man and Woman Should Be Concerned
 
 Dr. Peter McCullough: ""[Spike protein] almost certainly is causing death and destruction of those precious ovarian cells.""
 
 ""Those lower in range will be rendered infertile through each injection period."" https://t.co/gCyzzFDYmK",186,0,1.55E+18,,,,,
21,Fri Jul 29 07:50:50 +0000 2022,BandyGit,"America First Legal released documents obtained from CDC revealing what it called “concrete evidence of collusion” between the CDC and social media companies to censor free speech and promote Biden administration propaganda.
 
 https://t.co/gasWI3CoLd",2557,0,1.55E+18,,,,,
22,Thu Jul 28 22:42:40 +0000 2022,BandyGit,"Official data from New South Wales in Australia.
 More jabs = more chance of ending up in hospital. https://t.co/CRF7fRMv1R",0,2,1.55E+18,,yes,yes,yes,yes
23,Thu Jul 28 19:27:43 +0000 2022,BandyGit,@HighWireTalk Sounds like there just needs to be a temporary cockdown to slow the spread of monkey pox.,0,2,1.55E+18,,,,,
24,Thu Jul 28 18:14:17 +0000 2022,BandyGit,"@myhollycat @nick82388536 Fair enough, the facts are all there for anyone that wants to see them. If not having pointless dangerous injections every few months makes me ‘very dim’ I’m ok with that.
 I wish u well.",0,0,1.55E+18,,,,,
25,Thu Jul 28 17:38:37 +0000 2022,BandyGit,@myhollycat @nick82388536 https://t.co/JW7ZGfG4QY,0,1,1.55E+18,,,,,
26,Thu Jul 28 17:27:35 +0000 2022,BandyGit,"@myhollycat @nick82388536 That’s it, refuse to watch anything else, refuse to look at the Yellow Card System, VAERS in the US &amp; the European system. It’s all there if u want to look at it. You’re so naive u don’t even think doctors are paid to push vaccines on tv.",0,0,1.55E+18,,,,,
27,Thu Jul 28 17:22:09 +0000 2022,BandyGit,@ReicherStephen Provide proof that the ‘vaccines’ have greatly reduced deaths. Why isn’t every country that has low jab rates suffering higher death rates?,0,1,1.55E+18,,,,,
28,Wed Jul 27 20:25:21 +0000 2022,BandyGit,"@myhollycat @nick82388536 Here’s one last one for u, just in case u think masks are necessary. They’ve always been useless.
 The ‘guidelines’ were changed for political reasons, it’s all been about control.
 I wish u all the best &amp; I hope u start to question things a bit more. https://t.co/2StkikyOfM",0,0,1.55E+18,,,,,
29,Wed Jul 27 20:15:25 +0000 2022,BandyGit,"@myhollycat @nick82388536 Why did all the doctors say natural immunity doesn’t exist? Decades of ‘science’ ignored so they could persuade everyone to get jabbed, even if they’d already been sick with it. 
 Here’s a little reminder of what Dr Fauci said previously about the flu 👇🏻 https://t.co/DQdXDQjs8p",0,1,1.55E+18,,yes,yes,yes,yes
30,Wed Jul 27 19:55:40 +0000 2022,BandyGit,"@myhollycat @nick82388536 Jumped on by who? The whole of MSM have pushed these useless &amp; dangerous jabs as they are owned by the same corporations that own the pharma companies. Why are the BBC, Sky, ITV etc not reporting on the 1000’s of deaths &amp; injuries from the jabs?
 Check out Mark Steyn on GB News.",0,1,1.55E+18,,,,,
31,Wed Jul 27 19:51:30 +0000 2022,BandyGit,@nick82388536 @myhollycat Have u forgotten Chris Whitty said this? https://t.co/ncpbak2tsS,0,0,1.55E+18,,,,,
32,Wed Jul 27 19:40:58 +0000 2022,BandyGit,@nick82388536 @myhollycat https://t.co/xn8CwskLEt,0,1,1.55E+18,,,,,
33,Wed Jul 27 19:37:51 +0000 2022,BandyGit,@nick82388536 @myhollycat https://t.co/AVV1NDSCvU,0,0,1.55E+18,,,,,
34,Wed Jul 27 19:33:22 +0000 2022,BandyGit,@nick82388536 @myhollycat https://t.co/RlVgCXSNJL,0,0,1.55E+18,,,,,
35,Wed Jul 27 19:32:12 +0000 2022,BandyGit,@nick82388536 @myhollycat https://t.co/WAmGVYSMiv,0,0,1.55E+18,,,,,
36,Wed Jul 27 16:30:49 +0000 2022,BandyGit,"@UKHSA @telfordvillan It’s ok, u can’t ‘spread the virus’ when you’re eating popcorn so u don’t need a mask on then.
 Relentless BS from a supposed health agency that just spouts propaganda.",0,4,1.55E+18,,,,,
37,Wed Jul 27 14:00:03 +0000 2022,BandyGit,"All of us that were anti-lockdown &amp; restrictions right from the start were constantly called ‘selfish’. 
 This thread perfectly describes why we were not the selfish ones 👇🏻 https://t.co/FztGWn2Nug",1,3,1.55E+18,,,,,
38,Wed Jul 27 13:35:54 +0000 2022,BandyGit,@Bel_B30 @RuthB996 A perfect summary 👍🏻,0,2,1.55E+18,,,,,
39,Wed Jul 27 12:43:34 +0000 2022,BandyGit,"@myhollycat @nick82388536 A vaccine is supposed to stop u from contracting a disease. These covid jabs are not vaccines, they are all risk and no benefit, don’t compare them to any other vaccine. https://t.co/acRs4o6lbK",0,1,1.55E+18,,,,,
40,Wed Jul 27 11:05:09 +0000 2022,BandyGit,"@myhollycat @nick82388536 Ask yourself how many people ‘contract it’ after having their jabs. Please do some non MSM research on the dangers of the jabs, now that it is very real.",0,1,1.55E+18,,,,,
41,Wed Jul 27 09:25:10 +0000 2022,BandyGit,"@myhollycat @nick82388536 I don’t see any statistics &amp; comparisons to previous years in that attachment.
 Is that all it takes for u to keep believing?
 I’ve given u official stats from the hospitals themselves, keep ignoring them if u want to remain in denial. https://t.co/dA2Rnu8kB8",0,2,1.55E+18,,,,,
42,Wed Jul 27 07:39:07 +0000 2022,BandyGit,"@bangkok_pat Richard Barrow doesn’t mind, it gives that wet wipe a licence to keep tweeting about his sore throat &amp; cough.",0,1,1.55E+18,,,,,
43,Wed Jul 27 07:30:35 +0000 2022,BandyGit,@sianwilliams100 @KateEMcCann https://t.co/0yxp3pj3Eq,0,1,1.55E+18,,,,,
44,Tue Jul 26 21:50:36 +0000 2022,BandyGit,"To review, literally anything that happens after COVID is a symptom of ""long COVID"" but literally nothing that happens after receiving the vaccine can be considered a side effect or result of the vaccine. This is science, folks. https://t.co/g0w7fmWnCn",3005,0,1.55E+18,,,,,
45,Tue Jul 26 19:48:18 +0000 2022,BandyGit,@BernieSpofforth There’s a lot of it about these days 👇🏻 https://t.co/wM74SY64rK,224,367,1.55E+18,,,,,
46,Tue Jul 26 19:34:56 +0000 2022,BandyGit,"@Lulu30330111 Agreed, really enjoyed it. Let’s hope the masses destroy themselves soon 🤞🏻",0,1,1.55E+18,,,,,
47,Tue Jul 26 16:32:57 +0000 2022,BandyGit,"@oldtwohats @Canceloculture3 @Ross_Cand U make no sense whatsoever. If that was true then all my local hospitals would have had the highest possible ICU admissions as they would be full, leading to overflow, but they weren’t.
 Here’s one of the links to excess deaths at home:
 
 https://t.co/WpQMCQ8PCZ",0,0,1.55E+18,,,,,
48,Tue Jul 26 16:26:39 +0000 2022,BandyGit,@oldtwohats @Canceloculture3 @Ross_Cand Yes they shut down electives and left wards empty so there’s been thousands of excess deaths at home each month for the last 2 years due to lack of treatment.,0,0,1.55E+18,,,,,
49,Tue Jul 26 16:23:54 +0000 2022,BandyGit,"@oldtwohats @Canceloculture3 @Ross_Cand Are those stats for England or whole of UK?
 It’s a graph showing a rise in a couple of months. Hospitals are not managed on a national basis. As I said, request the stats for your own local area to see how it compared with previous years.",0,0,1.55E+18,,,,,
50,Tue Jul 26 16:15:50 +0000 2022,BandyGit,"@oldtwohats @Canceloculture3 @Ross_Cand I’m not ‘fixated’ on anything. All the stats provided by my NHS Trust show that in 2020-21 there were fewer ICU admissions, 1000’s fewer total admissions &amp; even fewer deaths than previous years.
 If that constitutes a ‘deadly pandemic’ to you then there’s nothing else to say.",0,0,1.55E+18,,yes,yes,yes,yes
