,Time,User,Tweet,RetweetCount,LikeCount,TweetID,Geo
0,2022-07-21 15:00:06+00:00,realDennisLynch,And you thought it couldn’t get worse. https://t.co/4yUbkBui7l,1,17,1550133520466530304,
1,2022-07-21 14:58:39+00:00,realDennisLynch,"Biden got vaxed how many times,and yet he gets Covid.  The lesson…drug companies, crooked politicians, media, and gov agencies fueled the greatest hoax in human history.  Luckily there are some of us who didn’t take the bait. And never forget which POTUS pushed the voodoo thru.",12,33,1550133158615687168,
2,2022-07-19 01:09:22+00:00,realDennisLynch,"@libsoftiktok I know, and it's sad they won't show you to us.  Somehow Bloomberg news shows up every day, and I have never clicked on them once.",1,7,1549199685289709569,
3,2022-07-19 01:04:41+00:00,realDennisLynch,@libsoftiktok used to appear at the top of my feed every time I logged onto Twitter. Perhaps that happened because I always clicked your posts. But now you never show up anymore. I must search for your handle in order to see the posts. Censored you are. Welcome to the club!,3,27,1549198507596193800,
4,2022-07-17 01:31:01+00:00,realDennisLynch,Impeachment. https://t.co/5XyeR2OsBH,10,23,1548480357019791362,
5,2022-07-12 12:21:44+00:00,realDennisLynch,@elonmusk @adamirvinmusic @BreitbartNews So true.Your tweet is indicative of a person who thinks with his head and not with his heart.  We could use 73 million more brainiacs in two years. Peep need to wake up...  @GovRonDeSantis will be the best POTUS is history starting 2024 if voters use their heads.,0,25,1546832176221659137,
6,2022-07-11 12:23:19+00:00,realDennisLynch,@elonmusk This is the greatest tweet in the history of Twitter.,7,108,1546470186399584256,
7,2022-07-08 23:09:26+00:00,realDennisLynch,@Twitter Is dishonest &amp;as anti-USA as a company can be. If @elonmusk is dropping out for negotiation purposes then I hope he gets the company for $1. If he walks away because he smells fraud then I hope the scoundrels pay a deep price to SEC when GOP takes back DC.,11,43,1545545626229800967,
8,2022-07-01 02:19:31+00:00,realDennisLynch,Last one for a while https://t.co/0QLd9jXXLM,0,7,1542694359904276480,
9,2022-06-27 19:11:11+00:00,realDennisLynch,A great listen.  https://t.co/t8McidSyst,5,6,1541499401285390336,
10,2022-06-26 16:23:41+00:00,realDennisLynch,Joe Biden is worse than Jimmy Carter. https://t.co/FI1BmHilDm,12,87,1541094859674615808,
11,2022-06-25 18:34:14+00:00,realDennisLynch,"@GiannoCaldwell G-man, my heart and thoughts are with you and your family.",0,1,1540765327897743360,
12,2022-06-25 13:50:49+00:00,realDennisLynch,RT @drefanzor: https://t.co/HR0h57FBUJ,2504,0,1540694000381722624,
13,2022-06-25 13:50:03+00:00,realDennisLynch,"Hold on Mr Mayor, since when can men not have babies?  I thought the new era of pronouns state otherwise. https://t.co/hKVzkkOufV",2,13,1540693810623049729,
14,2022-06-25 13:45:33+00:00,realDennisLynch,Is there anyone who comes off as normal on the left? https://t.co/nijocv3SAd,4,20,1540692676223406080,
15,2022-06-25 13:44:55+00:00,realDennisLynch,Where are the authorities? https://t.co/duhA2PMPUj,8,17,1540692516122423296,
16,2022-06-25 13:43:40+00:00,realDennisLynch,Corporate America https://t.co/qbyeu9E5mn,3,3,1540692204842369025,
17,2022-06-25 13:41:57+00:00,realDennisLynch,shocking https://t.co/mRkwdsHYsk,9,19,1540691769314234368,
